Date,EURO STOXX Small
06/1998,16565.450842436585
07/1998,15881.318274393632
08/1998,13482.688391038695
09/1998,11642.288465099056
10/1998,12406.035919274209
11/1998,12871.690427698575
12/1998,12866.13590075912
01/1999,12358.822440288835
02/1999,12439.363080910944
03/1999,12695.79707461581
04/1999,13582.669875948899
05/1999,13375.300870209221
06/1999,13697.463432697648
07/1999,13167.931864469543
08/1999,13626.180336974634
09/1999,13199.407517126461
10/1999,13298.463247546752
11/1999,13476.208109609332
12/1999,15029.624143677098
01/2000,14958.341047954085
02/2000,17285.687835586003
03/2000,17186.63210516571
04/2000,16984.81762636549
05/2000,16927.420847991114
06/2000,17007.03573412331
07/2000,17382.892057026478
08/2000,18041.10349935197
09/2000,17032.031105350863
10/2000,16658.026291427515
11/2000,16000.740603591928
12/2000,15639.69635252731
01/2001,16529.346417330125
02/2001,15930.383262358826
03/2001,15068.505832253288
04/2001,15497.130161081282
05/2001,15747.083873356787
06/2001,14958.341047954085
07/2001,14423.254952786521
08/2001,14005.739677837439
09/2001,11618.218848361415
10/2001,12381.040548046658
11/2001,13400.296241436772
12/2001,13453.99000185151
01/2002,13768.746528420663
02/2002,13750.231438622477
03/2002,14549.157563414183
04/2002,14463.062395852621
05/2002,14092.76059988891
06/2002,12998.518792816145
07/2002,11652.471764488058
08/2002,11576.559896315497
09/2002,9854.656545084244
10/2002,10784.114052953157
11/2002,11442.325495278652
12/2002,10635.067580077764
01/2003,10513.793741899648
02/2003,10032.401407146825
03/2003,9881.503425291614
04/2003,11044.251064617663
05/2003,11563.599333456768
06/2003,11857.989261247918
07/2003,12562.488428068877
08/2003,13171.63488242918
09/2003,12950.370301795963
10/2003,13862.2477319015
11/2003,14195.51934826884
12/2003,14201.073875208296
01/2004,15070.357341233106
02/2004,15734.123310498057
03/2004,15523.051286798742
04/2004,15653.58266987595
05/2004,15379.559340862803
06/2004,15850.768376226626
07/2004,15455.471209035364
08/2004,15370.30179596371
09/2004,15830.401777448622
10/2004,16072.023699314945
11/2004,16707.091279392705
12/2004,17331.04980559156
01/2005,17980.00370301796
02/2005,18733.56785780411
03/2005,18513.238289205703
04/2005,18004.999074245512
05/2005,19170.52397704129
06/2005,20047.213478985374
07/2005,20934.08628031846
08/2005,20845.21384928717
09/2005,21941.307165339753
10/2005,20960.93316052583
11/2005,21703.38826143307
12/2005,22607.85039807443
01/2006,24039.99259396408
02/2006,25417.515274949084
03/2006,26041.473801147935
04/2006,26236.807998518798
05/2006,24759.303832623587
06/2006,24553.78633586373
07/2006,24721.347898537308
08/2006,25630.43880762822
09/2006,26658.952045917427
10/2006,27957.78559526014
11/2006,28304.943528976117
12/2006,30067.580077763378
01/2007,30764.673208665063
02/2007,30561.932975374933
03/2007,31723.754860211073
04/2007,32708.757637474544
05/2007,34089.05758192927
06/2007,33173.4771338641
07/2007,31646.917237548605
08/2007,30716.53397518978
09/2007,30662.840214775046
10/2007,31721.90335123126
11/2007,29916.68209590817
12/2007,29209.40566561748
01/2008,26071.097944825033
02/2008,26659.877800407332
03/2008,26378.448435474915
04/2008,27205.147194963898
05/2008,27459.729679688946
06/2008,24182.558785410114
07/2008,23115.163858544714
08/2008,23952.0459174227
09/2008,21068.320681355304
10/2008,16740.41844102944
11/2008,15511.94223291983
12/2008,15655.43417885577
01/2009,15203.665987780041
02/2009,13652.101462692095
03/2009,13927.976300685059
04/2009,16971.85706350676
05/2009,18166.080355489725
06/2009,17775.41196074801
07/2009,19316.793186446954
08/2009,20907.23940011109
09/2009,22898.537307905943
10/2009,21520.08887243103
11/2009,21852.434734308463
12/2009,23089.242732827253
01/2010,22997.59303832624
02/2010,22439.36308091094
03/2010,24586.187743010556
04/2010,24741.71449731531
05/2010,22543.97333827069
06/2010,22094.982410664692
07/2010,23365.11757082022
08/2010,22701.351601555267
09/2010,24178.855767450474
10/2010,25354.563969635252
11/2010,24478.80022218108
12/2010,26502.490279577858
01/2011,26835.771153490095
02/2011,27273.653027217184
03/2011,27425.476763562303
04/2011,28014.256619144602
05/2011,27637.47454175153
06/2011,27116.27476393261
07/2011,25646.167376411777
08/2011,23243.843732642104
09/2011,20997.9633401222
10/2011,22165.339751897798
11/2011,21375.671172005186
12/2011,21295.130531383078
01/2012,22940.196259951863
02/2012,24106.64691723755
03/2012,23614.145528605815
04/2012,22913.349379744493
05/2012,20971.116459914832
06/2012,21892.242177374563
07/2012,22254.212182929088
08/2012,22655.063877059805
09/2012,23121.64413997408
10/2012,23640.066654323273
11/2012,24064.062210701723
12/2012,24788.927976300685
01/2013,25934.08628031846
02/2013,26114.59914830587
03/2013,25575.819292723572
04/2013,26189.59451953342
05/2013,26913.53453064248
06/2013,25282.35511942233
07/2013,26984.81762636549
08/2013,27226.43954823181
09/2013,28571.560822069987
10/2013,30240.696167376416
11/2013,30444.362155156454
12/2013,30959.08165154601
01/2014,31051.65710053694
02/2014,33455.84151083133
03/2014,33409.55378633586
04/2014,32962.41436770969
05/2014,33486.39140899834
06/2014,32670.801703388268
07/2014,31222.921681170155
08/2014,31326.606184039993
09/2014,30751.712645806332
10/2014,30110.164784299206
11/2014,31446.02851323829
12/2014,31127.5689687095
01/2015,33345.676726532125
02/2015,35689.687094982415
03/2015,36826.513608591005
04/2015,36857.989261247916
05/2015,37194.03814108499
06/2015,35705.42492131087
07/2015,37244.954638029994
08/2015,34443.62155156452
09/2015,33006.85058322533
10/2015,35694.31586743196
11/2015,36228.46695056471
12/2015,35301.79596371043
01/2016,32860.58137381967
02/2016,32183.854841695982
03/2016,33169.78337344936
04/2016,33528.97611553416
05/2016,34281.614515830406
06/2016,31232.17922606925
07/2016,33175.33790038882
08/2016,33452.138492871694
09/2016,33854.84169598223
10/2016,33939.08535456397
11/2016,33588.22440288836
12/2016,35821.14423254953
01/2017,35976.67098685429
02/2017,37031.105350860955
03/2017,39165.89520459175
04/2017,40473.98629883355
05/2017,41466.3951120163
06/2017,40649.879651916315
07/2017,41240.511016478435
08/2017,41562.67357896686
09/2017,43355.86002592113
10/2017,43712.2755045362
11/2017,43295.68598407703
12/2017,43764.11775597112
01/2018,45212.92353267914
02/2018,43839.10386965377
03/2018,42746.713571560824
04/2018,43795.59340862803
05/2018,42970.74615811887
06/2018,42479.170523977045
07/2018,43467.87631920015
08/2018,43509.535271246066
09/2018,43023.5141640437
10/2018,40141.64043695612
11/2018,39949.08350305499
12/2018,37992.03851138678
01/2019,40493.42714312165
02/2019,42272.72727272727
03/2019,42292.16811701537
04/2019,44596.37104239956
05/2019,41838.54841695982
06/2019,44108.49842621737
07/2019,44256.61914460285
08/2019,43485.46565450843
09/2019,44691.72375486021
10/2019,45592.482873541936
11/2019,46876.504351046104
12/2019,47935.56748750232
01/2020,47337.530087020925
02/2020,44233.475282355124
03/2020,37318.08924273283
04/2020,40847.9911127569
05/2020,43412.331049805594
06/2020,43483.614145528605
07/2020,43732.6421033142
08/2020,45769.30198111461
09/2020,45098.12997593039
10/2020,42886.50249953713
11/2020,49950.93501203482
12/2020,51905.193482688395
01/2021,52528.235511942235
02/2021,53746.52842066285
03/2021,56076.65247176449
04/2021,58140.15922977227
05/2021,59989.816700611
06/2021,60275.87483799297
07/2021,61730.22588409554
08/2021,63379.00388816886
09/2021,61034.99351971857
10/2021,62784.66950564711
11/2021,61245.13978892799
12/2021,63201.25902610628
01/2022,60821.14423254953
02/2022,59749.120533234585
03/2022,60434.16959822255
04/2022,59834.28994630624
05/2022,59535.271246065546
06/2022,52586.558044806516
07/2022,56246.9912979078
08/2022,52776.33771523792
09/2022,47578.22625439734
10/2022,51094.241807072765
11/2022,54422.32919829661
12/2022,53404.92501388632
01/2023,57930.93871505277
02/2023,59595.44528790965
03/2023,57846.69505647103
04/2023,57899.45380485096
05/2023,55884.09553786336
06/2023,57545.824847250515
07/2023,60036.10442510647
08/2023,58662.2847620811
09/2023,56527.49490835031
