Date,ROBO Global Robotics and Automation
10/2013,69372.10849644453
11/2013,72113.82352509
12/2013,74443.93633529113
01/2014,74241.53558745192
02/2014,75424.70875262434
03/2014,75574.39664926023
04/2014,72116.48671480143
05/2014,74356.96869258469
06/2014,78522.73700395372
07/2014,78658.37880260109
08/2014,80162.57074613286
09/2014,80704.81165063975
10/2014,80457.83152347492
11/2014,81814.22590723383
12/2014,82894.02981632485
01/2015,86620.4864219372
02/2015,91659.55222419927
03/2015,96577.09210893205
04/2015,93403.02888987963
05/2015,95750.99425706471
06/2015,92249.7966753061
07/2015,89398.16084617487
08/2015,82382.09424877397
09/2015,77825.46576809781
10/2015,86550.828265408
11/2015,92463.83637394838
12/2015,88770.09019932029
01/2016,79322.82289377289
02/2016,82580.30914768552
03/2016,86520.28309178742
04/2016,87750.33806892921
05/2016,90658.864532903
06/2016,89623.13754278507
07/2016,95074.7097993341
08/2016,96287.84315486885
09/2016,100842.8266284383
10/2016,100346.00822218163
11/2016,105680.56078984485
12/2016,108773.89792239823
01/2017,113494.59460715947
02/2017,119005.727847504
03/2017,120471.50921335704
04/2017,121430.44098810611
05/2017,123781.36663398982
06/2017,120628.98729407639
07/2017,124084.98840283106
08/2017,125327.8533615222
09/2017,131840.75902083685
10/2017,140658.08145729508
11/2017,142421.93881340197
12/2017,139393.24247477695
01/2018,147063.8219474994
02/2018,142060.4703618798
03/2018,137562.61180099018
04/2018,135692.0040566272
05/2018,143459.18394734594
06/2018,139665.6465088351
07/2018,141355.5740456714
08/2018,149018.73083855462
09/2018,147087.06003800966
10/2018,130645.52270719207
11/2018,132337.09543093585
12/2018,116404.78410480348
01/2019,129087.41147284121
02/2019,138222.44472669935
03/2019,140338.1821094793
04/2019,151109.83606703512
05/2019,132633.13577257644
06/2019,143315.26827768015
07/2019,140979.66298986637
08/2019,134940.77881478795
09/2019,143523.29644595462
10/2019,145590.09772279003
11/2019,153740.26033509377
12/2019,154570.76259569163
01/2020,155287.685305827
02/2020,144778.30381707207
03/2020,126955.3003833516
04/2020,147571.06610886357
05/2020,157853.0813577586
06/2020,160385.1699410609
07/2020,159907.2771775827
08/2020,167338.79296482413
09/2020,169696.28442090875
10/2020,170250.14275944603
11/2020,194184.57512520868
12/2020,205639.54966995347
01/2021,221080.75379037575
02/2021,223405.71776256085
03/2021,224941.45432835817
04/2021,222528.02938255254
05/2021,217920.04909433651
06/2021,228542.2979636486
07/2021,230241.28685560508
08/2021,237463.11205002532
09/2021,232973.69988772777
10/2021,245532.68484328032
11/2021,249976.92915603268
12/2021,259014.82597563125
01/2022,232359.0564718537
02/2022,224005.46638092687
03/2022,221761.17602017833
04/2022,202138.41745730545
05/2022,199291.17726127134
06/2022,181873.2736112448
07/2022,208318.8356540498
08/2022,198878.61409999998
09/2022,179311.77800574477
10/2022,187978.9989913254
11/2022,195959.1359868928
12/2022,183882.35767860492
01/2023,206419.5522939168
02/2023,209131.65721819378
03/2023,212285.8096551724
04/2023,205352.66933794736
05/2023,216082.46063839743
06/2023,227601.48619547207
07/2023,227726.68438719038
08/2023,213544.7700588885
09/2023,201938.598546347
10/2023,183579.2852434316
11/2023,203987.54807428413
12/2023,221440.83466063347
01/2024,217956.76820153176
02/2024,226130.17550341767
03/2024,230934.19692905375
04/2024,218532.32897928718
05/2024,219194.9214891264
06/2024,220060.46193367586
07/2024,221330.1301256003
08/2024,214268.88572201677
09/2024,219080.51125401934
