Date,S&P 500 Minimum Volatility
01/2006,15279.185306486219
02/2006,15756.33563991579
03/2006,15605.43732055519
04/2006,15320.066248065723
05/2006,14679.145661796705
06/2006,15141.857461181464
07/2006,15270.276043236468
08/2006,15402.169459808574
09/2006,15920.293707740915
10/2006,16397.231020793948
11/2006,16069.996009696966
12/2006,16301.190055884585
01/2007,16905.643470742627
02/2007,16436.764724244946
03/2007,16444.44515663012
04/2007,16598.5690216832
05/2007,17333.598502936147
06/2007,16933.62879200296
07/2007,16011.725175165971
08/2007,16323.287918861726
09/2007,16127.564652796389
10/2007,15849.477119955696
11/2007,14977.107364541698
12/2007,14825.885223558182
01/2008,14114.11603819771
02/2008,13441.091258653656
03/2008,12898.608554009612
04/2008,13567.474777606176
05/2008,13777.339890895022
06/2008,12287.202063943161
07/2008,12648.466480814808
08/2008,13660.800705259584
09/2008,13630.911450464937
10/2008,12866.220900211649
11/2008,12133.978446452424
12/2008,11182.299259610549
01/2009,11126.512798377027
02/2009,10174.07604428978
03/2009,10231.331250976857
04/2009,10665.585171525425
05/2009,10326.32096921549
06/2009,10451.635452384322
07/2009,10894.456825293535
08/2009,11020.764010650222
09/2009,10978.537657310659
10/2009,10773.86722108108
11/2009,11127.377577581043
12/2009,11842.111924753572
01/2010,11934.90652183875
02/2010,12553.735997052321
03/2010,13129.65009362712
04/2010,13420.593093503569
05/2010,13606.727965873082
06/2010,13307.878222801724
07/2010,13189.608466380103
08/2010,13446.079830599367
09/2010,13330.483112837046
10/2010,13467.988179259577
11/2010,14264.308746884135
12/2010,14654.73204879509
01/2011,14186.856087058133
02/2011,14424.334118548502
03/2011,14216.607672837332
04/2011,14260.801712516823
05/2011,14883.394292665973
06/2011,14618.832052030719
07/2011,14365.437110518935
08/2011,13990.194037093423
09/2011,14408.058005776493
10/2011,14884.75263795443
11/2011,15639.149259800264
12/2011,16546.755802766827
01/2012,16669.564562537947
02/2012,16766.19591906568
03/2012,17254.405132674452
04/2012,17543.689472075075
05/2012,18011.42797710231
06/2012,18422.61190214456
07/2012,19037.97494236405
08/2012,18676.607395131232
09/2012,18715.308333488014
10/2012,18462.211240514123
11/2012,18673.71255351917
12/2012,18402.499717144157
01/2013,18901.0833700369
02/2013,19796.28379312971
03/2013,21218.64723186255
04/2013,21258.530743268057
05/2013,21403.00650161464
06/2013,21106.48602171254
07/2013,21760.491492881356
08/2013,21128.362855459014
09/2013,21270.69444383561
10/2013,21922.72772436038
11/2013,22373.357422966717
12/2013,22383.89625175839
01/2014,22056.92101805268
02/2014,22497.989041337867
03/2014,22895.61232056861
04/2014,23073.738017617325
05/2014,23761.384960388034
06/2014,23996.01185532289
07/2014,24164.662295537775
08/2014,25431.475430087958
09/2014,26436.19732464436
10/2014,27467.79356148195
11/2014,28318.112349275016
12/2014,29090.83250638333
01/2015,30994.490700751878
02/2015,32378.024820996437
03/2015,33355.61709378194
04/2015,32024.59350084708
05/2015,33094.47849079307
06/2015,31767.83145339172
07/2015,33618.46501212728
08/2015,31310.683015604096
09/2015,31130.918473266083
10/2015,33747.7454947808
11/2015,34808.52253521126
12/2015,33795.89007513548
01/2016,33417.91026556776
02/2016,34268.03926120499
03/2016,34578.272330610445
04/2016,34415.4008166272
05/2016,35545.963948359335
06/2016,37497.096224464054
07/2016,38131.951168541345
08/2016,37285.98625476105
09/2016,37141.59209210644
10/2016,37083.89925013703
11/2016,38407.56056567936
12/2016,39507.1839339721
01/2017,38874.80419823338
02/2017,40962.6066218741
03/2017,40406.441926854364
04/2017,39709.95673705398
05/2017,39290.46715622493
06/2017,38513.21021731511
07/2017,38087.41199727125
08/2017,37509.64302748414
09/2017,38003.963543960694
10/2017,39452.703660422754
11/2017,40541.978327284996
12/2017,40421.60376886517
01/2018,40094.59439672473
02/2018,39523.125298837396
03/2018,38540.520801882965
04/2018,39377.29573640202
05/2018,41225.48539191385
06/2018,41788.253937210495
07/2018,42786.79141104294
08/2018,44429.628083426316
09/2018,44980.20680718728
10/2018,43539.89054603287
11/2018,44277.24201074038
12/2018,40010.647615720525
01/2019,42776.67426880222
02/2019,44576.41233356692
03/2019,46312.047850467294
04/2019,48178.32643965058
05/2019,46298.77783158461
06/2019,48092.88692442883
07/2019,49871.43793381759
08/2019,50571.25262776368
09/2019,52080.29997244925
10/2019,50997.26239913932
11/2019,53016.11305773083
12/2019,53617.67815559907
