Date,Russell 1000 Growth
07/2011,12657.64719632643
08/2011,11831.998188980682
09/2011,11728.827661216006
10/2011,12552.979108000083
11/2011,13097.130565986517
12/2011,13538.31373366679
01/2012,14088.384628286582
02/2012,14468.956180291154
03/2012,15042.21785998367
04/2012,15180.379630214013
05/2012,15135.546046949687
06/2012,15315.609772748026
07/2012,15907.548676200036
08/2012,15911.951004682132
09/2012,15823.736169252872
10/2012,15287.411734026211
11/2012,15551.781944387414
12/2012,15302.383178103824
01/2013,15538.959504706136
02/2013,16236.801741858053
03/2013,17272.143071109105
04/2013,17278.493211092893
05/2013,17688.792282322098
06/2013,17257.735125468607
07/2013,17905.823280490193
08/2013,17652.132707461875
09/2013,18070.13025994896
10/2013,18681.348462231905
11/2013,19250.669343072746
12/2013,19542.127145971168
01/2014,19371.288540086818
02/2014,19930.427348817782
03/2014,19765.20401193577
04/2014,19677.522643119628
05/2014,20653.12461811752
06/2014,20977.005461832196
07/2014,21086.64846568126
08/2014,22372.179202650263
09/2014,23107.708502576526
10/2014,23828.362040951306
11/2014,24664.18660436816
12/2014,25094.758919952186
01/2015,26537.81592038725
02/2015,28470.39996121093
03/2015,29404.94855704102
04/2015,28350.623202334795
05/2015,29391.77169505154
06/2015,28308.842270446537
07/2015,29861.294655363017
08/2015,27427.628001034005
09/2015,26777.779416734844
10/2015,29574.518311814587
11/2015,30885.433551847396
12/2015,29571.249918029305
01/2016,27835.98714067784
02/2016,27905.886934089012
03/2016,28487.54042583074
04/2016,28182.84610188947
05/2016,29371.504288810003
06/2016,29393.18012391209
07/2016,30750.128446197457
08/2016,30545.127948408546
09/2016,30577.206419057016
10/2016,30445.651444252006
11/2016,32017.79229455423
12/2016,32703.196911865234
01/2017,33132.60179765145
02/2017,35023.30744517271
03/2017,35116.89572108675
04/2017,35134.582479715
05/2017,35113.319480132894
06/2017,34434.67777115536
07/2017,34400.38762152196
08/2017,34740.67269218248
09/2017,35249.00576706248
10/2017,37143.356577972074
11/2017,37590.24353672143
12/2017,37428.02813306149
01/2018,38586.04657635219
02/2018,38321.83594066877
03/2018,36947.25684291504
04/2018,37819.14949644478
05/2018,40759.0780779933
06/2018,41296.25060251189
07/2018,42226.041812751835
08/2018,44859.71190815644
09/2018,45402.70101873317
10/2018,42284.900045604554
11/2018,42579.78931059342
12/2018,38609.57180623553
01/2019,41940.84865245703
02/2019,43715.4621273959
03/2019,45684.056067376965
04/2019,47820.41523661207
05/2019,45068.60963294206
06/2019,47194.569939950954
07/2019,49251.353142857646
08/2019,49383.43696312323
09/2019,50056.32010866059
10/2019,50244.710003611806
11/2019,53295.56279092979
12/2019,53671.95874295544
01/2020,55775.41116781958
02/2020,52332.13893223519
03/2020,47274.375305666996
04/2020,54668.80529885974
05/2020,56976.87121619914
06/2020,59128.72697325567
07/2020,60184.56075109786
08/2020,65883.54817454859
09/2020,64027.820552446414
10/2020,61906.191772632345
11/2020,66638.44772108427
12/2020,68050.25047893236
01/2021,68298.14389447041
02/2021,68366.83662650397
03/2021,71890.08501394377
04/2021,74512.64427659776
05/2021,72765.34371979887
06/2021,79393.23274990641
07/2021,81961.46291345441
08/2021,85435.44998270471
09/2021,82426.70558920242
10/2021,89058.50651825128
11/2021,91826.72902147345
12/2021,94074.52793367679
01/2022,87311.08788210095
02/2022,83281.67654415667
03/2022,87303.43272555213
04/2022,80846.16057777933
05/2022,77691.48071701998
06/2022,73782.66321474919
07/2022,84169.67387891888
08/2022,81837.63786026866
09/2022,75791.68287662845
10/2022,78878.35872894003
11/2022,78800.44579600403
12/2022,70789.24938970337
01/2023,75507.12084763394
02/2023,76113.96344480544
03/2023,79402.60188375258
04/2023,79411.95904517228
05/2023,85347.56622871627
06/2023,89648.42762541832
07/2023,91348.78528677273
08/2023,91819.69911714461
09/2023,89071.83760569435
10/2023,87596.95841623531
11/2023,94373.18713123354
12/2023,97490.88363444048
01/2024,101886.42978872094
02/2024,108948.42647703562
03/2024,111020.20076737563
04/2024,107233.65413591276
05/2024,112249.83082909141
06/2024,121464.3606039659
07/2024,118041.90124423633
08/2024,117685.49409638329
09/2024,119841.38524749092
