Date,STOXX Europe 600 Banks
02/2012,32964.51399603262
03/2012,32112.62949085299
04/2012,29598.853868194845
05/2012,26307.031077804717
06/2012,28942.03217985453
07/2012,28729.336566012786
08/2012,30857.394754242894
09/2012,32393.652193079128
10/2012,33946.42935860701
11/2012,35180.73616927485
12/2012,35958.78333700683
01/2013,39116.15605025347
02/2013,38307.25148776725
03/2013,36348.90897068548
04/2013,38333.68966277276
05/2013,40002.204099625305
06/2013,36103.15186246418
07/2013,39637.42561163765
08/2013,39462.19969142605
09/2013,41325.765924619795
10/2013,43834.03129821468
11/2013,43989.420321798556
12/2013,44055.54331055764
01/2014,44672.6912056425
02/2014,46190.21379766366
03/2014,45804.49636323562
04/2014,45956.579237381535
05/2014,46818.38219087503
06/2014,44486.44478730439
07/2014,44901.91756667402
08/2014,45811.10866211153
09/2014,46506.50209389465
10/2014,45336.12519285872
11/2014,45902.578796561604
12/2014,44036.79744324444
01/2015,43802.07185364779
02/2015,48277.49614282566
03/2015,50515.75931232092
04/2015,50949.966938505626
05/2015,52141.28278598193
06/2015,50629.27044302403
07/2015,52801.410623760195
08/2015,47605.24575710823
09/2015,44145.911395195064
10/2015,46050.25347145691
11/2015,46383.07251487768
12/2015,43859.37844390567
01/2016,37496.14282565572
02/2016,35622.65814414812
03/2016,35047.388141944015
04/2016,37188.670927925945
05/2016,37778.26757769451
06/2016,31089.927264712365
07/2016,33048.26978179414
08/2016,35910.293145250165
09/2016,34931.67291161561
10/2016,38014.10623760194
11/2016,39580.11902137977
12/2016,42618.470354860045
01/2017,43395.41547277937
02/2017,42769.44015869518
03/2017,45252.369407097205
04/2017,46650.870619352
05/2017,46358.82741899934
06/2017,46841.52523694071
07/2017,48122.107119241795
08/2017,46579.237381529645
09/2017,48826.316949526125
10/2017,48188.230108000884
11/2017,47185.36477848799
12/2017,47617.36830504739
01/2018,50014.32664756447
02/2018,48307.25148776725
03/2018,45198.36896627728
04/2018,46834.9129380648
05/2018,43115.494820365886
06/2018,42867.53361251929
07/2018,44739.91624421425
08/2018,41301.520828741464
09/2018,41921.97487326428
10/2018,38612.51928587172
11/2018,38496.80405554331
12/2018,35538.9023583866
01/2019,37280.13004187789
02/2019,39089.706854749835
03/2019,37576.592461979286
04/2019,40708.61802953494
05/2019,36577.03328190435
06/2019,37155.6094335464
07/2019,36217.76504297995
08/2019,33902.35838659907
09/2019,36941.811769892
10/2019,37740.79788406436
11/2019,38706.19351994711
12/2019,40344.930570861805
01/2020,38302.84328851664
02/2020,35295.34934979061
03/2020,24905.22371611197
04/2020,25213.797663654397
05/2020,25149.87877452061
06/2020,26517.52259202116
07/2020,25090.368084637426
08/2020,26086.62111527441
09/2020,23296.23098964073
10/2020,23454.926162662552
11/2020,30528.983910072737
12/2020,30492.616266255238
01/2021,29678.201454705755
02/2021,34356.40290941151
03/2021,36638.74807141283
04/2021,37933.65660127838
05/2021,39943.79545955477
06/2021,38312.76173683051
07/2021,38000.88163985012
08/2021,38976.19572404673
09/2021,40487.10601719198
10/2021,43116.59687017853
11/2021,39820.3658805378
12/2021,42244.875468371174
01/2022,45359.257218426275
02/2022,41148.3359047829
03/2022,40278.81860260084
04/2022,39360.81110866212
05/2022,41664.095217103815
06/2022,37583.19374035706
07/2022,38206.96495481596
08/2022,37820.14547057527
09/2022,36059.069869958126
10/2022,39085.29865549924
11/2022,42659.23517743002
12/2022,42694.511791933
01/2023,48689.66277275733
02/2023,51705.973109984574
03/2023,44883.18271985894
04/2023,46444.78730438616
05/2023,45705.31188009698
06/2023,49046.72691205643
07/2023,51746.74895305268
08/2023,49962.53030636985
09/2023,51256.33678642275
10/2023,48443.90566453604
11/2023,52057.52700022041
12/2023,53991.624421423854
01/2024,54588.93541988098
02/2024,55806.70046286092
03/2024,61723.605906987
04/2024,64274.8512232753
05/2024,67633.89905223716
06/2024,64692.528102270226
07/2024,68345.82323121006
08/2024,67467.48953052679
09/2024,68003.0747189773
