Date,MSCI Europe Quality
05/2007,53006.16116168498
06/2007,54178.73207715291
07/2007,52405.343753254
08/2007,52083.23890961774
09/2007,53663.33292000259
10/2007,54694.595008757395
11/2007,52821.0767493613
12/2007,51984.43644254157
01/2008,46627.00068812966
02/2008,47600.51798752821
03/2008,44887.19262693006
04/2008,48628.95688477044
05/2008,49881.65385965813
06/2008,46483.45864555723
07/2008,45128.86966803763
08/2008,45697.449203035525
09/2008,39619.802929514066
10/2008,37618.22823892274
11/2008,35691.2062202448
12/2008,33904.48957239815
01/2009,33911.417585052135
02/2009,31568.536428452324
03/2009,31797.916196677514
04/2009,34298.00249316327
05/2009,36208.207196186064
06/2009,35833.81053020875
07/2009,38671.82061327064
08/2009,39530.10890454836
09/2009,39877.17362234053
10/2009,40158.86862163715
11/2009,40912.989849105
12/2009,43937.24545245175
01/2010,43643.19615048738
02/2010,44411.97631835526
03/2010,46769.807490809566
04/2010,45626.370361158464
05/2010,44139.134022919076
06/2010,44271.5788239592
07/2010,45207.551409261076
08/2010,45877.051075006486
09/2010,46955.104884534616
10/2010,47852.36935940589
11/2010,47876.836869185
12/2010,49930.42629635362
01/2011,49251.194400934066
02/2011,50446.78823669211
03/2011,49183.195093265625
04/2011,50954.22013977414
05/2011,52268.94751779555
06/2011,50998.460851307886
07/2011,51329.318616895434
08/2011,47608.442531791916
09/2011,46148.797448504534
10/2011,49220.3922001992
11/2011,50018.01804622536
12/2011,51522.353670526245
01/2012,51886.625353039664
02/2012,53655.737308565156
03/2012,53939.57794519481
04/2012,54559.751873300665
05/2012,52149.43495564584
06/2012,54702.61132129512
07/2012,57688.98887092974
08/2012,57753.19499487422
09/2012,57881.24111220072
10/2012,57787.467884638136
11/2012,59486.34612377804
12/2012,59797.32209134483
01/2013,61030.599908296615
02/2013,62303.0856549802
03/2013,65195.56304253936
04/2013,65721.5196467318
05/2013,64854.507527150185
06/2013,62116.4040792452
07/2013,64559.32938327509
08/2013,64233.724439824604
09/2013,66735.79143865312
10/2013,67823.24031983879
11/2013,68604.80740487126
12/2013,69179.39104637994
01/2014,67626.80801209203
02/2014,71432.43037914363
03/2014,70956.51567825809
04/2014,72640.01608310605
05/2014,74477.68055370986
06/2014,75161.54923742104
07/2014,74235.68151240857
08/2014,75822.71254914391
09/2014,76676.19310505195
10/2014,75855.75996594675
11/2014,78726.9114791828
12/2014,78029.42674831186
01/2015,85420.67008005777
02/2015,90605.68809052213
03/2015,91759.34881947606
04/2015,91714.9258551685
05/2015,93604.46997621411
06/2015,88508.89761500037
07/2015,94304.95815456094
08/2015,85926.68785308176
09/2015,84397.97997173695
10/2015,91546.40360181252
11/2015,94037.6187042445
12/2015,89922.25636480442
01/2016,85225.61407484685
02/2016,84548.17617717822
03/2016,85629.10503724127
04/2016,86560.0407179492
05/2016,88932.6449335286
06/2016,87056.46096443868
07/2016,90843.05615694464
08/2016,89432.73552752908
09/2016,89540.07784607299
10/2016,85036.47339865909
11/2016,85046.16670220312
12/2016,89376.10534439546
01/2017,89682.24904657724
02/2017,93831.55986655757
03/2017,96406.4300154118
04/2017,97992.10384540014
05/2017,100840.71044305434
06/2017,97225.51377460174
07/2017,95157.65418884407
08/2017,95317.39473773535
09/2017,98313.28197867937
10/2017,100357.05890588848
11/2017,98548.88877561082
12/2017,98816.44324980075
01/2018,98617.12532351955
02/2018,94223.25316409212
03/2018,93261.35407138869
04/2018,97063.93358227704
05/2018,99389.21761052904
06/2018,99081.79672548977
07/2018,101827.90043372249
08/2018,102203.21982459085
09/2018,102162.869649717
10/2018,96511.47805429169
11/2018,95798.86157404413
12/2018,91372.93391471499
01/2019,96714.6772452403
02/2019,101659.16914119605
03/2019,105907.95046976439
04/2019,109278.10346959988
05/2019,105314.85785346269
06/2019,110887.18053065756
07/2019,111308.99657658234
08/2019,111779.05705835584
09/2019,114594.27066950176
10/2019,116654.40817987981
11/2019,120818.43204131952
12/2019,123050.63111691755
01/2020,123987.61120327782
02/2020,114012.11096311074
03/2020,104082.89163177296
04/2020,111781.70763579715
05/2020,114623.45003956542
06/2020,116536.83198291958
07/2020,114815.88209365711
08/2020,119118.40947578626
09/2020,120657.36244887552
10/2020,114240.98976526904
11/2020,125984.44165327742
12/2020,129658.64795957094
01/2021,128717.42396652386
02/2021,128872.23209839338
03/2021,137206.01813868448
04/2021,141699.39567745276
05/2021,146082.23844919418
06/2021,150731.7451629899
07/2021,156030.2806011584
08/2021,159781.71790168434
09/2021,151855.2047947089
10/2021,159280.08823992705
11/2021,156596.59026384537
12/2021,167004.24475472455
01/2022,154043.0373737789
02/2022,151176.0406952565
03/2022,153243.0881216537
04/2022,151496.76296228592
05/2022,145537.01486108257
