Date,MSCI Nordic Countries
08/2014,1029440.3605588861
09/2014,1053390.9998552154
10/2014,1029518.0578728002
11/2014,1038136.14843162
12/2014,1013539.31136095
01/2015,1108557.2243884176
02/2015,1190980.8670725299
03/2015,1225055.7326952992
04/2015,1214513.9394593574
05/2015,1227840.5053227844
06/2015,1165818.6619070028
07/2015,1218560.2343044784
08/2015,1112545.7292599846
09/2015,1072790.4766564847
10/2015,1139536.0473121807
11/2015,1195969.0716603047
12/2015,1152919.5526119599
01/2016,1079720.1006238528
02/2016,1071503.7531444195
03/2016,1089919.4663070086
04/2016,1109281.3024649776
05/2016,1123210.911678548
06/2016,1087545.9811467822
07/2016,1126902.9263251044
08/2016,1110232.0153124852
09/2016,1115031.0119608284
10/2016,1077063.8654237657
11/2016,1081388.6048116875
12/2016,1141566.7563940235
01/2017,1168774.2400844067
02/2017,1186883.5413227773
03/2017,1208249.1711286895
04/2017,1242980.2335013852
05/2017,1268929.0379390228
06/2017,1252879.2197445487
07/2017,1257567.9090170746
08/2017,1271257.9775088672
09/2017,1296742.6803190575
10/2017,1315627.866864048
11/2017,1264851.0795243485
12/2017,1260197.3361997535
01/2018,1277805.4613972954
02/2018,1264312.7931008255
03/2018,1226870.4910911773
04/2018,1248950.60450298
05/2018,1262771.7716254138
06/2018,1255936.020802908
07/2018,1300269.1629534378
08/2018,1307070.2242923905
09/2018,1328029.3364216818
10/2018,1228070.3700676952
11/2018,1208806.5173155707
12/2018,1160658.321004177
01/2019,1221608.5409039638
02/2019,1264003.1191238267
03/2019,1288628.0096633227
04/2019,1322330.3675452997
05/2019,1245059.1245576013
06/2019,1308890.2613040186
07/2019,1292050.3951745569
08/2019,1277999.5836200255
09/2019,1325588.4892511454
10/2019,1346227.369871978
11/2019,1381200.1984231025
12/2019,1419020.1007061934
01/2020,1426232.0210165856
02/2020,1336388.7949971228
03/2020,1190066.9386329826
04/2020,1301445.0104148344
05/2020,1366807.4876057766
06/2020,1389968.0034229571
07/2020,1433957.327806057
08/2020,1501579.163809092
09/2020,1514485.839167143
10/2020,1445789.4161617863
11/2020,1614396.8546058394
12/2020,1647244.656411102
01/2021,1665911.1094842262
02/2021,1690398.9254507876
03/2021,1804544.177229438
04/2021,1843118.7470782904
05/2021,1894155.6510401499
06/2021,1931198.6437110174
07/2021,2016073.4997134085
08/2021,2043968.1763498515
09/2021,1978919.0188575275
10/2021,2069355.7818176674
11/2021,1992106.1198491037
12/2021,2126080.772325438
01/2022,1958685.7899862912
02/2022,1875172.7868677732
03/2022,1950655.3145867828
04/2022,1938363.8944219612
05/2022,1884439.3716596225
06/2022,1743443.290849971
07/2022,1929242.7795501014
08/2022,1821595.946189993
09/2022,1662816.9301427754
10/2022,1764774.876495609
11/2022,1871696.0788497939
12/2022,1859918.8828491431
01/2023,1897974.281222466
02/2023,1967266.034549613
03/2023,1965056.7210877524
04/2023,2011886.7527918504
05/2023,1927041.7151983583
06/2023,1948443.323117392
07/2023,1952206.1661034904
08/2023,1952670.226692479
09/2023,1975856.044691399
10/2023,1910604.8162114134
11/2023,2047775.5874697769
12/2023,2166859.409789491
01/2024,2207414.7101521906
02/2024,2267182.575575191
03/2024,2334170.375043854
04/2024,2334317.212709087
05/2024,2440948.437808678
06/2024,2472980.273689522
07/2024,2407803.217808578
08/2024,2451905.8767946074
09/2024,2354020.591792341
10/2024,2257656.7825715044
