Date,MSCI World Enhanced Value
01/2023,75530.40019304575
02/2023,75733.24188857526
03/2023,74158.79894224595
04/2023,74225.3914671874
05/2023,74312.99443377109
06/2023,77865.63632893589
07/2023,79823.24661003075
08/2023,78845.42330263364
09/2023,79562.30901973642
10/2023,75550.21043735114
11/2023,79255.43723897383
12/2023,82506.45199228288
01/2024,84507.35425947268
02/2024,85629.7996037803
03/2024,90094.40472023601
04/2024,87304.9534824194
05/2024,89299.79281400486
06/2024,88405.66748094525
07/2024,91156.18747320816
08/2024,89662.12061843282
09/2024,89723.8527297926
10/2024,89361.6583972003
