Date,MSCI France
09/1991,64297.662474800156
10/1991,63200.36212195942
11/1991,59283.71707113188
12/1991,62454.430528207355
01/1992,63085.70566866499
02/1992,67074.89105067303
03/1992,68058.54530584501
04/1992,70934.76477179793
05/1992,72524.27867600814
06/1992,69446.12690328098
07/1992,63375.41964074281
08/1992,62348.45006627848
09/1992,65804.95649629585
10/1992,62858.94870781874
11/1992,65849.99771638098
12/1992,67498.83014563707
01/1993,67046.16811634305
02/1993,74684.11796957983
03/1993,78494.96377474934
04/1993,74736.47944256186
05/1993,72981.49400760833
06/1993,73992.7200523301
07/1993,78079.88158242464
08/1993,85517.38021273217
09/1993,81387.88317639063
10/1993,83058.58284504461
11/1993,82631.09587604842
12/1993,89461.4809619222
01/1994,94211.62102250072
02/1994,92069.46883799726
03/1994,86058.99913046809
04/1994,90127.52615720373
05/1994,84041.10569467409
06/1994,79479.35195854605
07/1994,84637.85254604962
08/1994,85176.81909730705
09/1994,78559.22058894827
10/1994,79802.99294009777
11/1994,80120.6709560447
12/1994,78954.08697617332
01/1995,75528.87060438324
02/1995,75949.81960437463
03/1995,82612.73976849573
04/1995,81848.2910855052
05/1995,84038.93737808205
06/1995,81935.3397716855
07/1995,84676.65418797232
08/1995,81685.0526639862
09/1995,81170.11488306362
10/1995,81131.80275805284
11/1995,80905.40737189473
12/1995,85656.09482023006
01/1996,90216.73960211543
02/1996,91795.9060597216
03/1996,94471.63487867164
04/1996,96999.47350972844
05/1996,97085.99117672342
06/1996,98063.97036202355
07/1996,93881.25339462662
08/1996,91108.86237519563
09/1996,96963.89786619443
10/1996,99323.14609665604
11/1996,103245.877966296
12/1996,106568.70848114499
01/1997,111926.81241145662
02/1997,117396.02769449673
03/1997,122425.76868370421
04/1997,118080.24775557083
05/1997,116745.31215941449
06/1997,127872.68912707159
07/1997,133701.28741501033
08/1997,127083.00722719007
09/1997,136847.74574233015
10/1997,125374.3982497953
11/1997,125387.09402914051
12/1997,133310.5061318514
01/1998,141239.7889212594
02/1998,152771.97653588137
03/1998,170421.17191842617
04/1998,174774.51368678143
05/1998,181052.48572296533
06/1998,186629.7972226957
07/1998,188969.9226476943
08/1998,166632.10272748375
09/1998,148446.60006965048
10/1998,157726.3711651183
11/1998,172483.16807979727
12/1998,178465.51139318603
01/1999,189647.37916955893
02/1999,183107.22386100786
03/1999,191291.04946664776
04/1999,198990.84432651926
05/1999,196984.0234072496
06/1999,205429.15808022625
07/1999,199461.4384444829
08/1999,209078.54200528303
09/1999,209408.136635844
10/1999,225434.0315013089
11/1999,241089.28696660922
12/1999,269966.5466531008
01/2000,258671.41723403492
02/2000,284094.9718151356
03/2000,292043.2356171617
04/2000,296979.8713950204
05/2000,297827.3888283772
06/2000,300919.3111371514
07/2000,306062.9549732544
08/2000,309930.86487915757
09/2000,294867.04514998186
10/2000,299731.07230690256
11/2000,277028.8274805386
12/2000,278909.20904423425
01/2001,279822.0492179508
02/2001,249681.22298319486
03/2001,243256.4875120132
04/2001,263812.62403634633
05/2001,258247.22080603064
06/2001,248525.07734059857
07/2001,241886.27016584968
08/2001,223335.68524233063
09/2001,197813.97641862012
10/2001,209776.44061925847
11/2001,219455.13280271075
12/2001,228624.6903028768
01/2002,218467.1938513295
02/2002,219975.81929429536
03/2002,229697.35827385238
04/2002,219047.04099322314
05/2002,210836.47778084362
06/2002,192716.67592635137
07/2002,170122.81144052764
08/2002,166571.7942238135
09/2002,140639.95416616634
10/2002,158851.53742505817
11/2002,164513.09703242432
