Date,MSCI Europe Small Cap
02/2017,36626.418797772945
03/2017,37514.70330184268
04/2017,39167.83531564502
05/2017,39795.812405311466
06/2017,38711.80056081318
07/2017,39358.158395156475
08/2017,39120.26591966173
09/2017,40724.46823648991
10/2017,41556.52337171335
11/2017,41004.823866992985
12/2017,41785.21470858
01/2018,42547.01352653127
02/2018,41260.59759292614
03/2018,40538.337756675595
04/2018,42299.19422137595
05/2018,42898.20544490982
06/2018,42578.636001029336
07/2018,42953.16760395365
08/2018,42793.17668011329
09/2018,42187.27522460263
10/2018,38895.195971019624
11/2018,37401.44709041289
12/2018,35056.2827510917
01/2019,38226.313718662954
02/2019,39463.844998248074
03/2019,40076.51490876725
04/2019,41913.144054198616
05/2019,39462.84629181239
06/2019,40669.800131810196
07/2019,40517.01242041073
08/2019,39806.61462486409
09/2019,41350.2099825512
10/2019,42340.16926663081
11/2019,44451.15935166636
12/2019,46114.748397721196
01/2020,45481.26054107854
02/2020,41736.108044092194
03/2020,32880.72416940489
04/2020,36824.135389849216
05/2020,38407.0225395115
06/2020,39074.85095552778
07/2020,39313.232317690745
08/2020,41701.98626465662
09/2020,41445.636701400756
10/2020,39398.85587279878
11/2020,45483.973998330555
12/2020,48127.649947029575
01/2021,48514.96349703362
02/2021,50405.83215081263
03/2021,53052.78486140725
04/2021,54694.48501903659
05/2021,56150.08101794935
06/2021,55612.799814877144
07/2021,57623.85938945421
08/2021,59640.69393273618
09/2021,57183.68101735902
10/2021,58785.7857878918
11/2021,56725.28790812285
12/2021,60009.44517040438
01/2022,56002.23758515598
02/2022,53697.13679792839
03/2022,54043.4332942978
04/2022,52941.65384250473
05/2022,51994.217212732205
06/2022,46161.471647251376
07/2022,50367.44126299274
08/2022,47147.6906
09/2022,41966.141823963895
10/2022,44550.620536614886
11/2022,47150.325414417886
12/2022,46346.42007312958
01/2023,49894.830702483145
02/2023,51071.735474150104
03/2023,48989.9907586207
04/2023,50089.21919679446
05/2023,48449.845034166436
06/2023,49152.59635560464
07/2023,50609.3066315885
08/2023,49051.59688995216
09/2023,47563.09510100057
10/2023,44581.80685563612
11/2023,48719.774631781176
12/2023,52201.386832579185
01/2024,51893.34188428531
02/2024,51774.08234805099
03/2024,53982.8572287485
04/2024,53467.80793991416
05/2024,56744.55151124217
06/2024,54891.50317608595
07/2024,57124.60495936462
08/2024,56885.7192658068
09/2024,57060.8596820293
10/2024,54519.416145929055
