Date,MSCI Emerging Markets ex China
02/2016,38666.36721160911
03/2016,42028.45895125164
04/2016,42287.258830132414
05/2016,41219.70423883809
06/2016,43511.43172761663
07/2016,45887.932234320164
08/2016,46188.76640316205
09/2016,46452.16818923035
10/2016,47857.638516353
11/2016,46384.27904842501
12/2016,47672.124640925904
01/2017,49058.66792375639
02/2017,51227.072303482106
03/2017,52131.50971471331
04/2017,52018.36397072278
05/2017,51731.08312271632
06/2017,51125.46566771818
07/2017,52157.87437196213
08/2017,52468.29556025369
09/2017,52033.85235981702
10/2017,54531.53635332531
11/2017,53360.86002531859
12/2017,54993.427002418066
01/2018,56429.62104198442
02/2018,55358.0645980023
03/2018,54199.587225062896
04/2018,54941.52341750145
05/2018,53401.38129412771
06/2018,51644.30564762394
07/2018,53596.55161213361
08/2018,52795.7913861471
09/2018,53065.88936420179
10/2018,50222.082795546914
11/2018,51413.1619543974
12/2018,50449.369848034934
01/2019,54178.0704108635
02/2019,53848.63810091101
03/2019,54755.869404539386
04/2019,55960.372968443575
05/2019,53834.562543269654
06/2019,55618.74135325132
07/2019,55887.945985113445
08/2019,53536.69191011236
09/2019,55801.87451189273
10/2019,56818.95923256231
11/2019,57119.11977053359
12/2019,59753.46461100231
01/2020,57950.81481360839
02/2020,53377.851864808246
03/2020,42505.998375319454
04/2020,47574.83280617875
05/2020,47204.488803879314
06/2020,49876.40999464191
07/2020,51187.14013504388
08/2020,50685.31463316583
09/2020,51289.295292107956
10/2020,51194.475671054875
11/2020,57081.02248747913
12/2020,61568.282542580055
01/2021,62481.29949241924
02/2021,63795.52800924016
03/2021,67033.3336392324
04/2021,67110.06301605694
05/2021,68620.78659454142
06/2021,70605.0976607203
07/2021,68826.40216298039
08/2021,71927.0306371472
09/2021,70991.16299853181
10/2021,70496.36577415199
11/2021,70029.81848455513
12/2021,73398.48116545999
01/2022,73484.35759053423
02/2022,71328.5301259041
03/2022,72263.52095486892
04/2022,71391.06496394688
05/2022,70319.48022402689
06/2022,63391.607054972555
07/2022,67668.12622082762
08/2022,69355.75637999999
09/2022,63772.175510874025
10/2022,64676.42729876942
11/2022,67579.92570161911
12/2022,62932.77999624976
01/2023,65706.14295209083
02/2023,63997.50963744231
03/2023,63942.43525149425
04/2023,63844.147782533444
05/2023,66549.6012543293
06/2023,67865.84303699613
07/2023,69800.24482627233
08/2023,67311.28852778798
09/2023,67287.09834623372
10/2023,64628.80650532065
11/2023,69277.06156435824
12/2023,72913.80792398189
01/2024,72497.50655347419
02/2024,75149.60560502493
03/2024,77514.12280455092
04/2024,76922.57478260869
05/2024,75893.60308883154
06/2024,81601.90468005603
07/2024,81352.55141854452
08/2024,80893.41030035175
09/2024,81112.47293319042
10/2024,80216.02133431354
