Date,MSCI India
07/2020,86024.34966239028
08/2020,88371.41376884421
09/2020,90693.48069695935
10/2020,91854.96108736536
11/2020,97456.76383973288
12/2020,104848.64187107813
01/2021,103553.72155570204
02/2021,109143.67930038778
03/2021,115412.66364179103
04/2021,110980.07584836948
05/2021,119475.23078436193
06/2021,121848.58404577583
07/2021,122920.41359011017
08/2021,137044.52063545716
09/2021,140946.77322739444
10/2021,139072.54176041216
11/2021,138223.21119422684
12/2021,143881.02931308493
01/2022,144086.0021154536
02/2022,137831.96785427275
03/2022,144143.99762183585
04/2022,149295.88201138517
05/2022,138428.97182861943
06/2022,133223.34448830268
07/2022,148420.44687193568
08/2022,157655.1588
09/2022,151540.7544521953
10/2022,152882.42880774662
11/2022,153711.01098689283
12/2022,141344.59024939057
01/2023,135040.49991692053
02/2023,131512.53082211132
03/2023,129914.19111724137
04/2023,134041.34184500502
05/2023,141858.65139005898
06/2023,146096.4004417449
07/2023,148367.02632677127
08/2023,147697.86492454915
09/2023,153943.54665377125
10/2023,149611.42887133674
11/2023,154620.3265253772
12/2023,165098.82346896073
01/2024,171943.4346244353
02/2024,177323.4194013271
03/2024,179116.57465930138
04/2024,185109.32894161963
05/2024,183614.77339182326
06/2024,198918.78694039246
07/2024,204846.66585158283
08/2024,202363.06364381837
09/2024,204942.85440184173
10/2024,193274.11064929888
