Date,MSCI Europe Enhanced Value
03/2020,30928.212571241776
04/2020,33507.35615887906
05/2020,34124.19851376566
06/2020,35765.364639335035
07/2020,33878.84494325458
08/2020,35262.19374880339
09/2020,34444.79999363618
10/2020,32314.140379381737
11/2020,39076.70522069987
12/2020,39963.94740748975
01/2021,40148.37103543233
02/2021,42065.59719795481
03/2021,45729.8011356287
04/2021,45375.9811585736
05/2021,47141.71194156337
06/2021,47089.28773690453
07/2021,47316.4823390306
08/2021,48418.2321765124
09/2021,47726.81274932312
10/2021,49067.9305177334
11/2021,47198.10590726061
12/2021,51221.33129612565
01/2022,52606.810006600674
02/2022,50736.767489806916
03/2022,50651.03265069052
04/2022,50384.957478494114
05/2022,51536.367344645616
06/2022,46593.310506752554
07/2022,48459.38295403054
08/2022,46998.114304864204
09/2022,44001.42979716444
10/2022,47239.653365318576
11/2022,49793.801986159364
12/2022,48519.01766702181
01/2023,52184.76615360885
02/2023,53499.79154148638
03/2023,52102.77704548996
04/2023,53214.47053440905
05/2023,50883.71714803263
06/2023,53411.30863712122
07/2023,54982.49092480822
08/2023,53312.89034178567
09/2023,53348.66083990013
10/2023,50121.25987148691
11/2023,53407.08561927193
12/2023,55321.7792860777
01/2024,55234.24082530907
02/2024,55853.94964565953
03/2024,58466.1000327287
04/2024,58909.733647563575
05/2024,61323.04526940649
06/2024,59000.6720994074
07/2024,60614.462550825374
08/2024,61145.909667240856
09/2024,61177.827351680426
10/2024,59906.64316278698
