Fund,ISIN,Tickers,Index
Xtrackers Global Sovereign UCITS ETF 5C,LU0908508731,"XG7S
XGGB",FTSE World Government Bond - Developed Markets
Xtrackers Global Sovereign UCITS ETF 1C EUR hedged,LU0378818131,"DBZB
XGSH",FTSE World Government Bond - Developed Markets (Hedged EUR)
Xtrackers Global Government Bond UCITS ETF 1D EUR hedged,LU0690964092,XGVD,FTSE World Government Bond - Developed Markets (Hedged EUR)
iShares Global Government Bond UCITS ETF USD (Dist),IE00B3F81K65,"EUN3
IGLO
SGLO",FTSE World Government Bond G7
iShares Global Government Bond UCITS ETF,IE00BYZ28V50,IGLA,FTSE World Government Bond G7
UBS ETF (CH) Gold (USD) A-dis,CH0106027193,AUUSI,Gold spot price
Gold Bullion Securities,DE000A0LP781,"GG9B
OGG9",Gold spot price
Xetra-Gold,DE000A0S9GB0,"4GLD
OGLD",Gold spot price
WisdomTree Physical Swiss Gold,DE000A1DCTL3,"GZUR
OGZU",Gold spot price
Xtrackers Physical Gold ETC (EUR),DE000A1E0HR8,"OXA5
XAD5",Gold spot price
Xtrackers IE Physical Gold ETC Securities,DE000A2T0VU5,XGDU,Gold spot price
EUWAX Gold,DE000EWG0LD1,GOLD,Gold spot price
EUWAX Gold II,DE000EWG2LD7,EWG2,Gold spot price
Amundi Physical Gold ETC (C),FR0013416716,"GLDA
GOLD",Gold spot price
Gold Bullion Securities,GB00B00FHZ82,"GBS
GBSS",Gold spot price
Xtrackers Physical Gold ETC,GB00B5840F36,XGLD,Gold spot price
iShares Physical Gold ETC,IE00B4ND3602,"EGLN
IGLN
PPFB
SGLN",Gold spot price
Invesco Physical Gold A,IE00B579F325,"8PSG
SGLD
SGLP",Gold spot price
WisdomTree Physical Gold,JE00B1VS3770,"PHAU
PHGP",Gold spot price
WisdomTree Physical Swiss Gold,JE00B588CD74,"SGBS
SGBX",Gold spot price
HANetf The Royal Mint Physical Gold ETC Securities,XS2115336336,"RM8U
RMAP
RMAU",Gold spot price
Swisscanto ETF Precious Metal Physical Gold EUR A,CH0044781174,JBGOEA,Gold spot price (EUR Hedged)
Swisscanto ETF Precious Metal Physical Gold AX,CH0044821699,JBGOEX,Gold spot price (EUR Hedged)
ZKB Gold ETF H (EUR),CH0103326762,ZGLDHE,Gold spot price (EUR Hedged)
iShares Gold EUR Hedged (CH),CH0104136319,CSGLDE,Gold spot price (EUR Hedged)
UBS ETF (CH) Gold (EUR) hedged (EUR) A-dis,CH0106027144,AUEUAH,Gold spot price (EUR Hedged)
Xtrackers Physical Gold EUR Hedged ETC,DE000A1EK0G3,"OXA1
XAD1",Gold spot price (EUR Hedged)
Xtrackers IE Physical Gold EUR Hedged ETC Securities,DE000A2T5DZ1,XGDE,Gold spot price (EUR Hedged)
VanEck Vectors Global Real Estate UCITS ETF,NL0009690239,"TREG
TRET",GPR Global 100
Amundi ETF Global Emerging Bond Markit iBoxx UCITS ETF USD,LU1681041205,AGEB,iBoxx $ Liquid Emerging Markets Sovereigns
Amundi Global Emerging Bond Markit iBoxx UCITS ETF Dist,LU1686830909,"EMKTB
LEMB
LYQS",iBoxx $ Liquid Emerging Markets Sovereigns
iShares USD High Yield Corporate Bond UCITS ETF USD (Dist),IE00B4PY7Y77,"IHYU
IS0R
SHYU",iBoxx $ Liquid High Yield Capped
iShares USD High Yield Corporate Bond UCITS ETF USD (Acc),IE00BYXYYL56,IHYA,iBoxx $ Liquid High Yield Capped
iShares USD Corporate Bond UCITS ETF (Dist),IE0032895942,"IBCD
LQDA
LQDE
LQDS",iBoxx $ Liquid Investment Grade
iShares USD Corporate Bond UCITS ETF (Acc),IE00BYXYYJ35,LQDA,iBoxx $ Liquid Investment Grade
Amundi Euro Inflation Expectations 2-10Y UCITS ETF Acc,LU1390062245,"EUIN
INFL",iBoxx EUR Breakeven Euro-Inflation France & Germany
Xtrackers iBoxx EUR Corporates Yield Plus UCITS ETF 1D,IE00BYPHT736,XDEP,iBoxx EUR Corporates Yield Plus
Xtrackers Eurozone Government Bond 15-30 UCITS ETF 1C,LU0290357507,"DBXF
X15E",iBoxx EUR Eurozone 15-30
iShares Euro Government Bond 20yr Target Duration UCITS ETF,IE00BSKRJX20,"E20Y
IS05",iBoxx EUR Eurozone 20yr Target Duration
Amundi ETF Euro Inflation UCITS ETF EUR (C),FR0010754127,"18MU
CI3",iBoxx EUR Inflation-Linked
Amundi Euro High Yield Liquid Bond iBoxx UCITS ETF EUR (C),LU1681040496,AHYE,iBoxx EUR Liquid High Yield 30 Ex-Financial
Xtrackers iBoxx Sovereigns Eurozone Yield Plus UCITS ETF 1C,LU0524480265,XY4P,iBoxx EUR Sovereigns Eurozone Yield Plus
Xtrackers iBoxx Sovereigns Eurozone Yield Plus UCITS ETF 1D,LU0962071741,XYPD,iBoxx EUR Sovereigns Eurozone Yield Plus
Xtrackers Eurozone Government Bond 25+ UCITS ETF 1C,LU0290357846,"DBXG
X25E",iBoxx Eurozone 25+
iShares Global High Yield Corporate Bond UCITS ETF,IE00B74DQ490,"HYLD
IBC9
IGHY",iBoxx Global Developed Markets Liquid High Yield Capped
iShares Global High Yield Corporate Bond UCITS ETF,IE00BYWZ0440,"HYEA
HYLA",iBoxx Global Developed Markets Liquid High Yield Capped
iShares Euro High Yield Corporate Bond UCITS ETF EUR (Dist),IE00B66F4759,"EUNW
IHYG
SHYG",iBoxx € Liquid High Yield
iShares Euro High Yield Corporate Bond UCITS ETF EUR (Acc),IE00BF3N7094,HIGH,iBoxx € Liquid High Yield
Xtrackers EUR High Yield Corporate Bond UCITS ETF 1D,LU1109942653,XHYG,iBoxx € Liquid High Yield
Xtrackers EUR High Yield Corporate Bond UCITS ETF 1C,LU1109943388,XHYA,iBoxx € Liquid High Yield
Xtrackers II Eurozone Government Bond UCITS ETF 1C,LU0290355717,"DBXN
XGLE",iBoxx € Sovereigns
Xtrackers II Eurozone Government Bond UCITS ETF 1D,LU0643975591,X03F,iBoxx € Sovereigns
Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1C,LU0290356871,"DBXP
X13E",iBoxx € Sovereigns 1-3
Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1D,LU0614173549,X03B,iBoxx € Sovereigns 1-3
ComStage iBoxx EUR Sovereigns Germany Capped 10+ TR UCITS ETF,LU0444607005,8523,iBoxx € Sovereigns Germany Capped 10+
ComStage iBoxx EUR Sovereigns Germany Capped 5-10 TR UCITS ETF,LU0444606965,8522,iBoxx € Sovereigns Germany Capped 5-10
iShares USD Treasury Bond 1-3yr UCITS ETF (Dist),IE00B14X4S71,"IBTS
IDBT
IUSU",ICE US Treasury 1-3 Year Bond
iShares USD Treasury Bond 1-3yr UCITS ETF (Acc),IE00B3VWN179,"CBU3
CSBGU3
CU31",ICE US Treasury 1-3 Year Bond
iShares USD Treasury Bond 1-3yr UCITS ETF (Acc),IE00BYXPSP02,IBTA,ICE US Treasury 1-3 Year Bond
iShares USD Treasury Bond 20+yr UCITS ETF USD (Acc),IE00BFM6TC58,DTLA,ICE US Treasury 20+ Year Bond
iShares USD Treasury Bond 20+yr UCITS ETF (Dist),IE00BSKRJZ44,"IBTL
IDTL
IS04",ICE US Treasury 20+ Year Bond
iShares USD Treasury Bond 20+yr EUR Hedged UCITS ETF,IE00BD8PGZ49,DTLE,ICE US Treasury 20+ Year Bond (EUR Hedged)
iShares USD Treasury Bond 3-7yr UCITS ETF (Acc),IE00B3VWN393,"CBU7
CSBGU7
CU71
SXRL",ICE US Treasury 3-7 Year Bond
iShares USD Treasury Bond 3-7 UCITS ETF USD (Dist),IE00BFXYHY63,OM3M,ICE US Treasury 3-7 Year Bond
iShares USD Treasury Bond 7-10yr UCITS ETF (Dist),IE00B1FZS798,"BTMA
IBTM
IDTM
IUSM",ICE US Treasury 7-10 Year Bond
iShares USD Treasury Bond 7-10yr UCITS ETF (Acc),IE00B3VWN518,"CBU0
CSBGU0
SXRM",ICE US Treasury 7-10 Year Bond
iShares USD Treasury Bond 0-1yr UCITS ETF USD (Dist),IE00BGR7L912,"IBCC
IBTU",ICE US Treasury Short Bond
iShares USD Treasury Bond 0-1yr UCITS ETF (Acc),IE00BGSF1X88,IB01,ICE US Treasury Short Bond
L&G Cyber Security UCITS ETF,IE00BYPLS672,"ISPY
USPY",ISE Cyber Security
iShares Automation & Robotics UCITS ETF,IE00BYWZ0333,"2B7F
RBOD",iSTOXX FactSet Automation & Robotics
iShares Automation & Robotics UCITS ETF,IE00BYZK4552,"2B76
RBOT
RBTX",iSTOXX FactSet Automation & Robotics
UBS ETF (LU) J.P. Morgan CNY China Government 1-10 Year Bond UCITS ETF (USD) A-acc,LU2095995895,"CIB
CNYGB
JC11",JP Morgan China Government + Policy Bank 20% Capped 1-10 Year
JPMorgan Global Equity Multi-Factor UCITS ETF Accumulating,IE00BJRCLL96,"JPGL
JPLG",JP Morgan Diversified Factor Global Developed (Region Aware) Equity
iShares J.P. Morgan USD Emerging Markets Bond UCITS ETF (Dist),IE00B2NPKV68,"EEMB
IEMB
IUS7
SEMB",JP Morgan EMBI Global Core
iShares J.P. Morgan USD Emerging Markets Bond UCITS ETF (Acc),IE00BYXYYK40,"JPEA
JPEE",JP Morgan EMBI Global Core
iShares J.P. Morgan USD EM Bond EUR Hedged UCITS ETF (Dist),IE00B9M6RS56,"EMBE
IS3C",JP Morgan EMBI Global Core (Hedged EUR)
iShares J.P. Morgan USD EM Bond UCITS ETF (Acc),IE00BJ5JPH63,3SUD,JP Morgan EMBI Global Core (Hedged EUR)
UBS ETF (LU) J.P. Morgan EM Multi-Factor Enhanced Local Currency Bond UCITS ETF (USD) A-dis,LU1720938841,"EMLO
EMLOC
UEFE",JP Morgan Emerging Market Enhanced Multi-Factor Local Currency Bond
UBS ETF (LU) J.P. Morgan EM Multi-Factor Enhanced Local Currency Bond UCITS ETF (USD) A-acc,LU1720938924,EMLOCA,JP Morgan Emerging Market Enhanced Multi-Factor Local Currency Bond
JPMorgan BetaBuilders EUR Govt Bond UCITS ETF EUR (acc),IE00BJK9HD13,"BBEG
BBGE",JP Morgan EMU Government Bond
Amundi ETF BofA Merrill Lynch Euro Government Bonds 1-10 UCITS ETF DR,LU1437018598,EGOV,JP Morgan EMU Government Bond
Amundi Index J.P. Morgan EMU Government Investment Grade UCITS ETF DR EUR (D),LU1737653714,10AL,JP Morgan EMU Government Bond
BNP Paribas Easy JPM ESG EMU Government Bond IG 3-5 Y,LU2008763182,,JP Morgan ESG EMU Government Bond IG 3-5 Year
BNP Paribas Easy JPM ESG EMU Government Bond IG 3-5Y UCITS ETF,LU2244387457,"ASRE
GEMU",JP Morgan ESG EMU Government Bond IG 3-5 Year
iShares J.P. Morgan EM Local Government Bond UCITS ETF,IE00B5M4WH52,"IEML
IUSP
SEML",JP Morgan GBI-EM Global Diversified 10% Cap 1% Floor
iShares J.P. Morgan Emerging Markets Local Government Bond UCITS ETF USD (Acc),IE00BFZPF546,EMGA,JP Morgan GBI-EM Global Diversified 10% Cap 1% Floor
Amundi ETF J.P. Morgan Government Bond Global UCITS ETF DR EUR Hedged,LU1708330235,GOVH,JP Morgan Global Government Bond (Hedged EUR)
Amundi ETF J.P. Morgan GBI Global Government Bonds UCITS ETF DR,LU1437016204,"GGOU
GGOV",JP Morgan Government Bond Global
Amundi Index J.P. Morgan GBI Global Govies UCITS ETF DR EUR (D),LU1737653631,10AK,JP Morgan Government Bond Global
Invesco JPX-Nikkei 400 UCITS ETF,IE00BPRCH686,"N400
S400
SMLN",JPX-Nikkei 400
Xtrackers JPX-Nikkei 400 UCITS ETF 1D,IE00BPVLQD13,"XDNS
XDNY",JPX-Nikkei 400
Lyxor MSCI Japan ESG Leaders Extra (DR) UCITS ETF - Acc,LU1646359452,"JPX4
JPXG
JPXY
LMVB",JPX-Nikkei 400
Amundi JPX Nikkei 400 UCITS ETF EUR (C),LU1681038912,"JP40
JPNK",JPX-Nikkei 400
Amundi ETF JPX Nikkei 400 UCITS ETF JPY,LU1681039050,JPNY,JPX-Nikkei 400
Xtrackers JPX-Nikkei 400 UCITS ETF 3C EUR hedged,IE00BRB36B93,XDNE,JPX-Nikkei 400 Daily (EUR Hedged)
Invesco JPX-Nikkei 400 EUR Hedged UCITS ETF,IE00BVGC6645,NS4E,JPX-Nikkei 400 Daily (EUR Hedged)
Nomura JPX-Nikkei 400 NTR D EUR Hedged UCITS ETF,IE00BVVSZ262,NJXE,JPX-Nikkei 400 Daily (EUR Hedged)
Lyxor MSCI Japan ESG Leaders Extra (DR) UCITS ETF - Daily Hedged to EUR - Acc,LU1646359965,"JPXH
LMVD",JPX-Nikkei 400 Daily (EUR Hedged)
Amundi JPX Nikkei 400 UCITS ETF Daily Hedged EUR (C),LU1681039134,"JP4H
JPHE",JPX-Nikkei 400 Daily (EUR Hedged)
Franklin Emerging Markets UCITS ETF,IE00BF2B0K52,"FLXE
FREM",LibertyQ Emerging Markets
VanEck Defense UCITS ETF A,IE000YYE6WK5,"DFEN
DFNG
DFNS",MarketVector Global Defense Industry
VanEck Uranium and Nuclear Technologies UCITS ETF A,IE000M7V94E1,"NUCG
NUCL
NUKL",MarketVector Global Uranium and Nuclear Energy Infrastructure
VanEck Video Gaming and eSports UCITS ETF,IE00BYWQWR46,"ESGB
ESP0
ESPO",MarketVector Global Video Gaming & eSports ESG
Xtrackers Eurozone Government Bond 3-5 UCITS ETF 1C,LU0290356954,"DBXQ
X35E",Markit iBoxx EUR Eurozone (DE ES FR IT NL) 3-5
Xtrackers Eurozone Government Bond 3-5 UCITS ETF 1D,LU0614173895,X03C,Markit iBoxx EUR Eurozone (DE ES FR IT NL) 3-5
iShares EUR Ultrashort Bond UCITS ETF EUR (Acc),IE000RHYOR04,ERNX,Markit iBoxx EUR Liquid Investment Grade Ultrashort
iShares EUR Ultrashort Bond UCITS ETF EUR (Dist),IE00BCRY6557,"ERN1
ERNE
IS3M",Markit iBoxx EUR Liquid Investment Grade Ultrashort
iShares GBP Ultrashort Bond UCITS ETF,IE00BCRY6441,ERNS,Markit iBoxx GBP Liquid Investment Grade Ultrashort
iShares Global High Yield Corp Bond GBP Hedged UCITS ETF (Dist),IE00B8KQFS66,GHYS,Markit iBoxx Global Developed Markets Liquid High Yield Capped (GBP Hedged)
