Fund,ISIN,Tickers,Index
Amundi MSCI World UCITS ETF USD (C),LU1681043672,"CW8G
CW8U
CW8USD
XAMZ",MSCI World
Amundi MSCI World V UCITS ETF Acc,LU1781541179,"LCUW
LCWD
LCWL",MSCI World
Xtrackers MSCI World Swap UCITS ETF 1D,LU2263803533,XWD1,MSCI World
Amundi MSCI World III UCITS ETF Dist,LU2572257124,"AHYQ
AHYR",MSCI World
Amundi MSCI World UCITS ETF - EUR (D),LU2655993207,EWLD,MSCI World
Amundi MSCI World II UCITS ETF EUR Hedged Dist,FR0011660927,"DJAB
WLDH",MSCI World 100% Hedged to EUR
iShares MSCI World EUR Hedged UCITS ETF (Acc),IE00B441G979,"IBCH
IWDE",MSCI World 100% Hedged to EUR
iShares Core MSCI World UCITS ETF EUR Hedged (Dist),IE00BKBF6H24,IWLE,MSCI World 100% Hedged to EUR
Xtrackers MSCI World Swap UCITS ETF 4C EUR hedged,LU0659579733,XWEH,MSCI World 100% Hedged to EUR
iShares MSCI World Consumer Discretionary Sector UCITS ETF USD (Dist),IE00BJ5JP212,"36BB
WCDS",MSCI World Consumer Discretionary
Xtrackers MSCI World Consumer Discretionary UCITS ETF 1C,IE00BM67HP23,XDWC,MSCI World Consumer Discretionary
SPDR MSCI World Consumer Discretionary UCITS ETF,IE00BYTRR640,WCOD,MSCI World Consumer Discretionary
Lyxor MSCI World Consumer Discretionary TR UCITS ETF - Acc (EUR),LU0533032008,"CODW
DISW
LYPA",MSCI World Consumer Discretionary
Lyxor MSCI World Consumer Discretionary TR UCITS ETF - Acc (USD),LU0533032180,"0KF0
LYCODW",MSCI World Consumer Discretionary
Xtrackers MSCI World Consumer Staples UCITS ETF 1C,IE00BM67HN09,"XDWS
XWCS",MSCI World Consumer Staples
SPDR MSCI World Consumer Staples UCITS ETF,IE00BYTRR756,"SS40
WCOS",MSCI World Consumer Staples
iShares Edge MSCI World Multifactor UCITS ETF USD (Acc),IE00BZ0PKT83,"FSWD
IBCZ
IFSW",MSCI World Diversified Multiple-Factor
iShares MSCI World Energy Sector UCITS ETF USD (Dist),IE00BJ5JP105,"5MVW
WENS",MSCI World Energy
Xtrackers MSCI World Energy UCITS ETF 1C,IE00BM67HM91,"XDW0
XWES",MSCI World Energy
SPDR MSCI World Energy UCITS ETF,IE00BYTRR863,"ENGW
SS42
WNRG",MSCI World Energy
iShares Edge MSCI World Value Factor UCITS ETF USD (Dist),IE00BFYTYS33,"IWVG
IWVU",MSCI World Enhanced Value
Xtrackers MSCI World Value Factor UCITS ETF 1C,IE00BL25JM42,XDEV,MSCI World Enhanced Value
iShares Edge MSCI World Value Factor UCITS ETF,IE00BP3QZB59,"IS3S
IWFV
IWVL",MSCI World Enhanced Value
iShares MSCI World ESG Screened UCITS ETF USD (Acc),IE00BFNM3J75,"SAWD
SNAW",MSCI World ESG Screened
iShares MSCI World ESG Screened UCITS ETF USD (Dist),IE00BFNM3K80,"S6DW
SDWD",MSCI World ESG Screened
Xtrackers MSCI World ex USA UCITS ETF 1C,IE0006WW1TQ4,EXUS,MSCI World ex USA
Xtrackers MSCI World Financials UCITS ETF 1C,IE00BM67HL84,"XDWF
XWFS",MSCI World Financials
SPDR MSCI World Financials UCITS ETF,IE00BYTRR970,"FNCW
SS43
WFIN",MSCI World Financials
Amundi MSCI World Financials UCITS ETF EUR Acc,LU0533032859,"FINSW
LYPD",MSCI World Financials
Amundi MSCI World Financials UCITS ETF USD Acc,LU0533033071,"1DR0
FINW
LYFINW",MSCI World Financials
iShares MSCI World Health Care Sector UCITS ETF USD (Dist),IE00BJ5JNZ06,"CBUF
WHCS",MSCI World Health Care
Xtrackers MSCI World Health Care UCITS ETF 1C,IE00BM67HK77,XDWH,MSCI World Health Care
SPDR MSCI World Health Care UCITS ETF,IE00BYTRRB94,WHEA,MSCI World Health Care
Amundi MSCI World Health Care UCITS ETF EUR Acc,LU0533033238,"HLTW
LYPE",MSCI World Health Care
Amundi MSCI World Health Care UCITS ETF USD Acc,LU0533033311,"7H60
HLTW
LYHLTW",MSCI World Health Care
Xtrackers MSCI World High Dividend Yield UCITS ETF 1D USD,IE00BCHWNQ94,XDWY,MSCI World High Dividend Yield
iShares MSCI World Quality Dividend UCITS ETF USD (Acc),IE00BKPSFC54,WQDA,MSCI World High Dividend Yield
iShares MSCI World Quality Dividend UCITS ETF,IE00BYYHSQ67,"QDVW
WQDS
WQDV",MSCI World High Dividend Yield
Xtrackers MSCI World Industrials UCITS ETF 1C,IE00BM67HV82,"XDWI
XWIS",MSCI World Industrials
SPDR MSCI World Industrials UCITS ETF,IE00BYTRRC02,"WIND
WNDU",MSCI World Industrials
iShares MSCI World Information Technology Sector UCITS ETF USD (Dist),IE00BJ5JNY98,"AYEW
WITS",MSCI World Information Technology
Xtrackers MSCI World Information Technology UCITS ETF 1C,IE00BM67HT60,XDWT,MSCI World Information Technology
SPDR MSCI World Technology UCITS ETF,IE00BYTRRD19,"WTCH
WTEC",MSCI World Information Technology
Amundi MSCI World Information Technology UCITS ETF EUR Acc,LU0533033667,"LYPG
TNOW",MSCI World Information Technology
Amundi MSCI World Information Technology UCITS ETF USD Acc,LU0533033741,"8Q70
LYTNOW
TNOW",MSCI World Information Technology
Xtrackers MSCI World ESG UCITS ETF 1C,IE00BZ02LR44,"XESW
XZW0",MSCI World Low Carbon SRI Leaders
Xtrackers MSCI World Materials UCITS ETF 1C,IE00BM67HS53,"XDWM
XSMW",MSCI World Materials
SPDR MSCI World Materials UCITS ETF,IE00BYTRRF33,"SS48
WMAT",MSCI World Materials
iShares Edge MSCI World Size Factor UCITS ETF,IE00BP3QZD73,"IS3T
IWFS
IWSZ",MSCI World Mid-Cap Equal Weighted
iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Acc),IE00B8FHGS14,"IQQ0
MINV
MVOL",MSCI World Minimum Volatility (USD)
Xtrackers MSCI World Minimum Volatility UCITS ETF 1C,IE00BL25JN58,XDEB,MSCI World Minimum Volatility (USD)
Xtrackers MSCI World Momentum Factor UCITS ETF 1C,IE00BL25JP72,XDEM,MSCI World Momentum
iShares Edge MSCI World Momentum Factor UCITS ETF (Acc),IE00BP3QZ825,"IS3R
IWFM
IWMO",MSCI World Momentum
Xtrackers MSCI World Momentum ESG UCITS ETF,IE000TL3PL69,"XWEM
XWMS",MSCI World Momentum Low Carbon SRI Screened Select
Xtrackers MSCI World Quality ESG UCITS ETF 1C,IE0003NQ0IY5,"XWEQ
XWQS",MSCI World Quality Low Carbon SRI Screened Select
Xtrackers MSCI World Quality Factor UCITS ETF 1C,IE00BL25JL35,XDEQ,MSCI World Sector Neutral Quality
iShares Edge MSCI World Quality Factor UCITS ETF (Acc),IE00BP3QZ601,"IS3Q
IWFQ
IWQU",MSCI World Sector Neutral Quality
SPDR MSCI World Small Cap UCITS ETF,IE00BCBJG560,"WDSC
WOSC
ZPRS",MSCI World Small Cap
iShares MSCI World Small Cap UCITS ETF,IE00BF4RFH31,"IUSN
WLDS
WSML",MSCI World Small Cap
iShares MSCI World SRI UCITS ETF USD (Dist),IE00BDZZTM54,"2B7J
SUWS",MSCI World SRI Select Reduced Fossil Fuel
iShares MSCI World SRI UCITS ETF EUR (Acc),IE00BYX2JD69,"2B7K
SUSW",MSCI World SRI Select Reduced Fossil Fuel
Xtrackers MSCI World Utilities UCITS ETF 1C,IE00BM67HQ30,"XDWU
XWUS",MSCI World Utilities
SPDR MSCI World Utilities UCITS ETF,IE00BYTRRH56,"SS46
WUTI",MSCI World Utilities
VanEck Semiconductor UCITS ETF,IE00BMC38736,"SMGB
SMH
SMHV
VVSM",MVIS US Listed Semiconductor 10% Capped
VanEck Crypto and Blockchain Innovators UCITS ETF,IE00BMDKNW35,"DAGB
DAPP
DAVV",MVIS US Listed Semiconductor 10% Capped
WisdomTree Artificial Intelligence UCITS ETF USD Acc,IE00BDVPNG13,"INTL
WTAI
WTI2",Nasdaq CTA Artificial Intelligence
Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C,IE00BGV5VN51,XAIX,Nasdaq Global Artificial Intelligence and Big Data
iShares Nasdaq 100 UCITS ETF (DE),DE000A0F5UF5,EXXT,Nasdaq-100
Lyxor PEA Nasdaq 100 UCITS ETF - Capi,FR0011871110,PUST,Nasdaq-100
Amundi PEA US Tech ESG UCITS ETF Acc,FR0013412269,PANX,Nasdaq-100
Invesco Nasdaq-100 Swap UCITS ETF Dist,IE000RUF4QN8,EQQD,Nasdaq-100
Invesco EQQQ Nasdaq-100 UCITS ETF,IE0032077012,"EQQQ
EQQU",Nasdaq-100
iShares Nasdaq 100 UCITS ETF (Acc),IE00B53SZB19,"CNDX
CNX1
CSNDX
SXRV",Nasdaq-100
Invesco EQQQ Nasdaq-100 UCITS ETF Acc,IE00BFZXGZ54,"EQAC
EQQB",Nasdaq-100
Xtrackers Nasdaq 100 UCITS ETF 1C,IE00BMFKG444,"XNAQ
XNAS",Nasdaq-100
Invesco Nasdaq-100 Swap UCITS ETF Acc,IE00BNRQM384,"EQQS
EQQX
EQSG",Nasdaq-100
ComStage Nasdaq 100 UCITS ETF,LU0378449770,"C011
CBNDX",Nasdaq-100
Amundi Nasdaq 100 UCITS ETF EUR (C),LU1681038243,"6AQQ
ANX",Nasdaq-100
Amundi Nasdaq 100 UCITS ETF USD,LU1681038326,"10A4
ANXG
ANXU",Nasdaq-100
Amundi Nasdaq-100 II UCITS ETF Acc,LU1829221024,"LYMS
NASD
NASL
UST",Nasdaq-100
Amundi Nasdaq-100 II UCITS ETF Dist,LU2197908721,NADQ,Nasdaq-100
iShares Nasdaq 100 UCITS ETF EUR Hedged Acc,IE00BYVQ9F29,NQSE,Nasdaq-100 (EUR Hedged)
Invesco Nasdaq-100 UCITS ETF EUR Hedged,IE00BYVTMS52,EQEU,Nasdaq-100 (EUR Hedged)
Amundi Nasdaq 100 UCITS ETF Daily Hedged EUR (C),LU1681038599,"HNDX
NDXH",Nasdaq-100 (EUR Hedged)
Amundi Nasdaq-100 Daily (2x) Leveraged UCITS ETF Acc,FR0010342592,"L8I7
LQQ",Nasdaq-100 Leveraged Notional Net
Meesman Indexfonds Aandelen Wereldwijd,NL0010436663,,Northern Trust MSCI World Custom ESG
Market Access NYSE Arca Gold Bugs UCITS ETF,LU0259322260,"GOLB
M9SD
MAGB",NYSE Arca Gold BUGS
Lyxor NYSE Arca Gold BUGS (DR) UCITS ETF,LU0488317701,"CBGOLD
CD91
GLDM
GLDU",NYSE Arca Gold BUGS
iShares Physical Palladium ETC,IE00B4556L06,"IPDM
SPDM",Palladium spot price
Elementum Physical Palladium ETC,XS2265370234,"0IID
TPAL
TPDS",Palladium spot price
Xtrackers Physical Palladium EUR Hedged ETC,DE000A1EK3B8,XAD4,Palladium spot price (EUR Hedged)
L&G Artificial Intelligence UCITS ETF,IE00BK5BCD43,"AIAG
AIAI
XMLD",ROBO Global Artificial Intelligence
L&G ROBO Global Robotics and Automation UCITS ETF,IE00BMW3QX54,"IROB
ROBE
ROBG
ROBO",ROBO Global Robotics and Automation
Amundi Russell 1000 Growth UCITS ETF Acc,FR0011119171,"RSGL
RUSG",Russell 1000 Growth
L&G Russell 2000 US Small Cap UCITS ETF,DE000A0Q8NE4,ETLZ,Russell 2000
Lyxor Russell 2000 UCITS ETF C-USD,FR0011119254,"RU2K
RUS2",Russell 2000
L&G Russell 2000 US Small Cap UCITS ETF,IE00B3CNHJ55,"ETLZ
RTWO
RTWP",Russell 2000
Invesco Russell 2000 UCITS ETF,IE00B60SX402,"RTYS
SC0K
SR2000",Russell 2000
SPDR Russell 2000 US Small Cap UCITS ETF,IE00BJ38QD84,"R2SC
R2US
ZPRR",Russell 2000
Xtrackers Russell 2000 UCITS ETF 1C,IE00BJZ2DD79,"XRS2
XRSG
XRSU",Russell 2000
Amundi Russell 2000 UCITS ETF EUR (C),LU1681038672,RS2K,Russell 2000
Amundi ETF Russell 2000 UCITS ETF USD,LU1681038839,"RS2G
RS2U",Russell 2000
Xtrackers Russell Midcap UCITS ETF 1C,IE00BJZ2DC62,"XRMU
XRSM
XRSS",Russell Midcap
BNP Paribas Easy S&P 500 UCITS ETF USD,FR0011550177,"0XC5
ESAP
ESD",S&P 500
BNP Paribas Easy S&P 500 UCITS ETF EUR,FR0011550185,"ESE
ESEE",S&P 500
BNP Paribas Easy S&P 500 UCITS ETF,FR0011550680,"ESDD
ESEA",S&P 500
Amundi PEA S&P 500 UCITS ETF Acc,FR0011871128,PSP5,S&P 500
iShares S&P 500 Swap UCITS ETF USD (Dist),IE000D3BWBR2,I50D,S&P 500
HSBC S&P 500 UCITS ETF USD (Acc),IE000JZ473P7,"H4ZN
HSPA
HSPS",S&P 500
SPDR S&P 500 UCITS ETF (Acc),IE000XZSV718,"SP5A
SPXL
SPYL",S&P 500
Xtrackers S&P 500 UCITS ETF 4C,IE000Z9SJA06,"XDPP
XDPU",S&P 500
iShares Core S&P 500 UCITS ETF USD (Dist),IE0031442068,"IDUS
IUSA",S&P 500
Vanguard S&P 500 UCITS ETF (USD) Distributing,IE00B3XXRP09,"VUSA
VUSD",S&P 500
Invesco S&P 500 UCITS ETF,IE00B3YCGJ38,"P500
SPXP
SPXS",S&P 500
UBS ETF (IE) S&P 500 SF UCITS ETF (USD) A-acc,IE00B4JY5R22,S5USAS,S&P 500
iShares Core S&P 500 UCITS ETF USD (Acc),IE00B5BMR087,"CSP1
CSPX
CSSPX
SXR8",S&P 500
HSBC S&P 500 UCITS ETF USD,IE00B5KQNG97,"H4ZF
HHH
HSPD
HSPX",S&P 500
SPDR S&P 500 UCITS ETF (Dist),IE00B6YX5C33,"SPX5
SPY5",S&P 500
UBS ETF (IE) S&P 500 UCITS ETF (USD) A-dis,IE00B7K93397,"SP5EUY
SP5USY
UBU9
UC13",S&P 500
Vanguard S&P 500 UCITS ETF (USD) Accumulating,IE00BFMXXD54,"VUAA
VUAG",S&P 500
iShares S&P 500 Swap UCITS ETF USD (Acc),IE00BMTX1Y45,I500,S&P 500
Invesco S&P 500 UCITS ETF Dist,IE00BYML9W36,"D500
SPXD",S&P 500
Xtrackers S&P 500 Swap UCITS ETF 1C,LU0490618542,"D5BM
XSPU
XSPX",S&P 500
Amundi S&P 500 II UCITS ETF EUR Dist,LU0496786574,"LYPS
SP5
SPX",S&P 500
Amundi S&P 500 II UCITS ETF USD Dist,LU0496786657,"6TVM
LSPU
LSPX
LYSP5",S&P 500
Amundi S&P 500 II UCITS ETF Acc,LU1135865084,"LYP7
SP5C
SP5L",S&P 500
Amundi S&P 500 UCITS ETF EUR (C),LU1681048804,"500
500E
A500
AUM5",S&P 500
Amundi ETF S&P 500 UCITS ETF USD,LU1681049018,"10AP
500E
500G
500U
500USD",S&P 500
Xtrackers S&P 500 Swap UCITS ETF 1D,LU2009147757,"XSXD
XSXG",S&P 500
Amundi S&P 500 UCITS ETF USD (D),LU2391437253,500D,S&P 500
Xtrackers S&P 500 Equal Weight UCITS ETF 2D,IE000CXLGK86,"XDED
XDEU",S&P 500 Equal Weight
iShares S&P 500 Equal Weight UCITS ETF USD (Acc),IE000MLMNYS0,"EWSP
EWSX
O4J0",S&P 500 Equal Weight
Xtrackers S&P 500 Equal Weight UCITS ETF 1C,IE00BLNMYC90,"XDEW
XDWE",S&P 500 Equal Weight
Invesco S&P 500 Equal Weight UCITS ETF Dist,IE00BM8QRY62,"SP2D
SPED
SPES",S&P 500 Equal Weight
Invesco S&P 500 Equal Weight UCITS ETF Acc,IE00BNGJJT35,"SP2Q
SPEQ
SPEX",S&P 500 Equal Weight
SPDR S&P 500 ESG Leaders UCITS ETF (Acc),IE00BH4GPZ28,"500X
SPPY",S&P 500 ESG Leaders
Lyxor PEA S&P 500 UCITS ETF Couverte en EUR - Capi.,FR0011871136,PSPH,S&P 500 EUR Hedged
BNP Paribas Easy S&P 500 UCITS ETF EUR Hedged,FR0013041530,ESEH,S&P 500 EUR Hedged
iShares S&P 500 EUR Hedged UCITS ETF (Acc),IE00B3ZW0K18,"IBCF
IUES
IUSE",S&P 500 EUR Hedged
UBS ETF (IE) S&P 500 UCITS ETF (hedged to EUR) A-dis,IE00BD34DJ91,"SP500F
UEQ7",S&P 500 EUR Hedged
UBS ETF (IE) S&P 500 UCITS ETF (hedged to EUR) A-acc,IE00BD34DK07,"SP500E
UEQD",S&P 500 EUR Hedged
Xtrackers S&P 500 UCITS ETF 1D EUR Hedged,IE00BGJWX091,XDPD,S&P 500 EUR Hedged
Xtrackers S&P 500 UCITS ETF 1C EUR hedged,IE00BM67HW99,XDPE,S&P 500 EUR Hedged
Invesco S&P 500 EUR Hedged UCITS ETF,IE00BRKWGL70,E500,S&P 500 EUR Hedged
SPDR S&P 500 EUR Hedged UCITS ETF,IE00BYYW2V44,"SPPE
SPXE",S&P 500 EUR Hedged
Amundi S&P 500 II UCITS ETF EUR Hedged Dist,LU0959211243,"LYP2
SP5H
SPXH",S&P 500 EUR Hedged
ComStage S&P 500 Euro Daily Hedged Net TR UCITS ETF,LU1033694362,C014,S&P 500 EUR Hedged
Amundi S&P 500 UCITS ETF Daily Hedged EUR (C),LU1681049109,"500H
H1D5
H500",S&P 500 EUR Hedged
iShares S&P 500 Health Care Sector UCITS ETF (Acc),IE00B43HR379,"IHCU
IUHC
QDVG",S&P 500 Health Care Sector
Xtrackers S&P 500 2x Leveraged Daily Swap UCITS ETF 1C,LU0411078552,"DBPG
XS2D
XS2L",S&P 500 Leverage 2x Daily
Invesco S&P 500 High Dividend Low Volatility UCITS ETF,IE00BWTN6Y99,"HDLG
HDLV",S&P 500 Low Volatility High Dividend
iShares Edge S&P 500 Minimum Volatility UCITS ETF (Acc),IE00B6SPMN59,"IBCK
MVUS
SPLV
SPMV",S&P 500 Minimum Volatility
iShares Edge S&P 500 Minimum Volatility UCITS ETF USD (Dist),IE00BD93YH54,SPMD,S&P 500 Minimum Volatility
iShares Edge S&P 500 Minimum Volatility UCITS ETF EUR Hedged (Acc),IE00BYX8XD24,"IS31
SPME",S&P 500 Minimum Volatility (EUR Hedged)
Amundi S&P 500 VIX Futures Enhanced Roll UCITS ETF Acc,LU0832435464,"LVO
VOOL",S&P 500 VIX Futures Enhanced Roll
iShares Gold Producers UCITS ETF,IE00B6R52036,"IAUP
IS0E
SPGP",S&P Commodity Producers Gold
SPDR S&P US Consumer Staples Select Sector UCITS ETF,IE00BWBXM385,"SXLP
ZPDS",S&P Consumer Staples Select Sector
SPDR S&P Euro Dividend Aristocrats UCITS ETF (Dist),IE00B5M1WJ87,"EUDI
EUDV
SPYW",S&P Euro High Yield Dividend Aristocrats
iShares Global Clean Energy UCITS ETF,IE00B1XNHC34,"INRG
IQQH",S&P Global Clean Energy
SPDR S&P Global Dividend Aristocrats UCITS ETF,IE00B9CQXS71,"GBDV
GLDV
ZPRG",S&P Global Dividend Aristocrats
Amundi S&P Global Luxury UCITS ETF EUR (C),LU1681048630,GLUX,S&P Global Luxury
Amundi ETF S&P Global Luxury UCITS ETF USD,LU1681048713,"AFID
LUXG
LUXU",S&P Global Luxury
VanEck Global Mining UCITS ETF A,IE00BDFBTQ78,"GDIG
GIGB
WMIN",S&P Global Mining Reduced Coal
iShares Global Water UCITS ETF USD (Acc),IE000CFH1JX2,H2OA,S&P Global Water
iShares Global Water UCITS ETF,IE00B1TXK627,"IH2O
IQQQ",S&P Global Water
SPDR S&P US Dividend Aristocrats UCITS ETF,IE00B6YX5D40,"SPYD
UDVD
USDV",S&P High Yield Dividend Aristocrats
iShares Listed Private Equity UCITS ETF,IE00B1TXHL60,"IDPE
IPRV
IQQL",S&P Listed Private Equity
SPDR S&P 400 US Mid Cap UCITS ETF,IE00B4YBJ215,SPY4,S&P MidCap 400
ComStage S&P MidCap 400 UCITS ETF,LU0392495965,"CBUSAM
X022",S&P MidCap 400
Invesco US Technology Sector UCITS ETF,IE00B3VSSL01,"SML3
XLKQ
XLKS",S&P Select Sector Capped 20% Technology
iShares S&P SmallCap 600 UCITS ETF,IE00B2QWCY14,"IDP6
ISP6
IUS3",S&P SmallCap 600
Invesco S&P SmallCap 600 UCITS ETF A,IE00BH3YZ803,"SMLK
USML",S&P SmallCap 600
SPDR S&P US Technology Select Sector UCITS ETF,IE00BWBXM948,"GXLK
SXLK
ZPDT",S&P Technology Select Sector
Ossiam Shiller Barclays CAPE® US Sector Value TR UCITS ETF 1C (EUR),LU1079841273,"CAPU
USCP",Shiller Barclays CAPE US Sector Value
WisdomTree Physical Silver,DE000A0N62F2,"OVZC
VZLC",Silver spot price
Xtrackers Physical Silver ETC (EUR),DE000A1E0HS6,"OXA6
XAD6",Silver spot price
Xtrackers IE Physical Silver ETC Securities,DE000A2T0VS9,XSLR,Silver spot price
Xtrackers Physical Silver ETC,GB00B57Y9462,XSIL,Silver spot price
Invesco Physical Silver,IE00B43VDT70,"SLVP
SSLV",Silver spot price
iShares Physical Silver ETC,IE00B4NCWG09,"ISLN
PPFD
SSLN",Silver spot price
WisdomTree Physical Silver,JE00B1VS3333,"PHAG
PHSP",Silver spot price
iShares SMI (CH),CH0008899764,CSSMI,SMI
UBS ETF (CH) SMI (CHF) A-dis,CH0017142719,SMICHA,SMI
L&G Battery Value-Chain UCITS ETF,IE00BF0M2Z96,"BATE
BATG
BATT",Solactive Battery Value-Chain
L&G Clean Water UCITS ETF,IE00BK5BC891,"GLGG
GLUG
XMLC",Solactive Clean Water
Amundi Prime Eurozone UCITS ETF DR (D),LU1931974429,"ETFEZ
PR1Z
PRIZ",Solactive Euro 50
Amundi Prime Eurozone UCITS ETF DR (C),LU2089238112,PRAZ,Solactive Euro 50
Amundi EUR Overnight Return UCITS ETF Acc,FR0010510800,"CSH
CSHD
L8I3
LEONIA",Solactive Euro Overnight Return
Amundi Prime Euro Government Bonds 0-1Y UCITS ETF DR (C),LU2233156582,PRAB,Solactive Eurozone Government Bond 0-1 Year
Amundi Prime Euro Gov Bonds 0-1Y - IE,LU2531807738,,Solactive Eurozone Government Bond 0-1 Year
Amundi Prime Global UCITS ETF DR (D),LU1931974692,"ETFGLO
PR1W
PRIW",Solactive GBS Developed Markets Large & Mid Cap
Amundi Prime Global UCITS ETF DR (C),LU2089238203,PRAW,Solactive GBS Developed Markets Large & Mid Cap
L&G Gerd Kommer Multifactor Equity UCITS ETF USD Accumulating,IE0001UQQ933,GERD,Solactive Gerd Kommer Multifactor Equity
L&G Gerd Kommer Multifactor Equity UCITS ETF USD Distributing,IE000FPWSL69,K0MR,Solactive Gerd Kommer Multifactor Equity
VanEck Vectors Global Equal Weight UCITS ETF,NL0009690221,"T6ET
TGET
TGGB",Solactive Global Equity
Global X SuperDividend,US37950E5490,,Solactive Global SuperDividend
L&G Hydrogen Economy UCITS ETF USD Acc,IE00BMYDM794,"HTMW
HTWG
HTWO",Solactive Hydrogen Economy
HANetf HAN-GINS Tech Megatrend Equal Weight UCITS ETF,IE00BDDRF700,"ITEK
ITEP
T3KE",Solactive Innovative Technologies
Amundi Smart City UCITS ETF (C),LU2037748345,"AMEC
SCITY",Solactive Smart City
Amundi Smart Factory UCITS ETF - EUR (C),LU2037749822,"540S
SFTRY
SMAFY",Solactive Smart Factory
HANetf The Travel UCITS ETF,IE00BMFNW783,"7RIP
TRIP
TRYP",Solactive Travel
Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C,LU0290358497,"DBXT
XEON",Solactive €STR +8.5 Daily
iShares STOXX Europe 50 UCITS ETF (DE),DE0005933949,EXW3,STOXX Europe 50
Deka STOXX Europe 50 UCITS ETF,DE000ETFL250,EL4Y,STOXX Europe 50
Amundi ETF STOXX Europe 50 UCITS ETF EUR (C),FR0010790980,"AE50
C5E",STOXX Europe 50
iShares STOXX Europe 50 UCITS ETF,IE0008470928,"EUN
EUN1
EUNA",STOXX Europe 50
iShares STOXX Europe 600 UCITS ETF (DE),DE0002635307,"EXSA
SXPIEX",STOXX Europe 600
Amundi STOXX Europe 600 ESG II UCITS ETF Dist,DE000ETF9603,"CB1EU6
E960",STOXX Europe 600
BNP Paribas Easy STOXX Europe 600 UCITS ETF,FR0011550193,"ETSZ
ETZ",STOXX Europe 600
Invesco STOXX Europe 600 UCITS ETF,IE00B60SWW18,"S600
SC0C
SDJ600",STOXX Europe 600
Xtrackers STOXX Europe 600 UCITS ETF 1C,LU0328475792,"DX2X
XSX6",STOXX Europe 600
ComStage STOXX Europe 600 UCITS ETF,LU0378434582,"C060
CBEU6",STOXX Europe 600
Amundi Stoxx Europe 600 UCITS ETF Acc,LU0908500753,"LYP6
MEUD
MEUS",STOXX Europe 600
Amundi STOXX Europe 600 UCITS ETF EUR (C),LU1681040223,"AME6
C6E",STOXX Europe 600
iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE),DE000A0Q4R28,EXV5,STOXX Europe 600 Automobiles & Parts
Lyxor STOXX Europe 600 Automobiles & Parts UCITS ETF - Acc,LU1834983394,"AUT
AUTP
LAUT",STOXX Europe 600 Automobiles & Parts
Lyxor STOXX Europe 600 Automobiles & Parts UCITS ETF - Dist,LU2082995908,"AUTD
DFOA",STOXX Europe 600 Automobiles & Parts
iShares STOXX Europe 600 Banks UCITS ETF (DE),DE000A0F5UJ7,EXV1,STOXX Europe 600 Banks
Amundi STOXX Europe 600 Banks UCITS ETF Acc,LU1834983477,"BNK
CB5
LBNK
LYBNK",STOXX Europe 600 Banks
Amundi STOXX Europe 600 Banks UCITS ETF Dist,LU2082996112,INDA,STOXX Europe 600 Banks
iShares STOXX Europe 600 Basic Resources UCITS ETF (DE),DE000A0F5UK5,"EXV6
SXPPEX",STOXX Europe 600 Basic Resources
Xtrackers STOXX Europe 600 Basic Resources Swap UCITS ETF 1C,LU0292100806,"DXSC
XSPR",STOXX Europe 600 Basic Resources
Amundi STOXX Europe 600 Basic Resources UCITS ETF Acc,LU1834983550,"BRES
LBRE
LYBRE",STOXX Europe 600 Basic Resources
Amundi STOXX Europe 600 Basic Resources UCITS ETF Dist,LU2082996385,E6BR,STOXX Europe 600 Basic Resources
iShares STOXX Europe 600 Food & Beverage UCITS ETF (DE),DE000A0H08H3,"EXH3
SX3PEX",STOXX Europe 600 Food & Beverage
Xtrackers STOXX Europe 600 Food & Beverage Swap UCITS ETF 1C,LU0292105359,"DXSK
XS3R",STOXX Europe 600 Food & Beverage
Lyxor STOXX Europe 600 Food & Beverage UCITS ETF - Acc,LU1834985845,"FOO
LFOD",STOXX Europe 600 Food & Beverage
Lyxor STOXX Europe 600 Food & Beverage UCITS ETF - Dist,LU2082997359,"DFOP
FOOD",STOXX Europe 600 Food & Beverage
iShares STOXX Europe 600 Health Care UCITS ETF (DE),DE000A0Q4R36,"EXV4
SXDPEX",STOXX Europe 600 Health Care
Xtrackers STOXX Europe 600 Health Care Swap UCITS ETF 1C,LU0292103222,"DXSE
XSDR",STOXX Europe 600 Health Care
ComStage STOXX Europe 600 Health Care UCITS ETF,LU0378435985,"C068
CBHECA",STOXX Europe 600 Health Care
Amundi STOXX Europe 600 Healthcare UCITS ETF Acc,LU1834986900,"CH5
HLT
LHTC
LYHLT",STOXX Europe 600 Health Care
iShares STOXX Europe 600 Industrial Goods & Services UCITS ETF (DE),DE000A0H08J9,"EXH4
SXNPEX",STOXX Europe 600 Industrial Goods & Services
Xtrackers STOXX Europe 600 Industrial Goods Swap UCITS ETF 1C,LU0292106084,"DXSL
XSNR",STOXX Europe 600 Industrial Goods & Services
Lyxor STOXX Europe 600 Industrial Goods & Services UCITS ETF - Acc,LU1834987890,"IND
INDG
LIGS",STOXX Europe 600 Industrial Goods & Services
Lyxor STOXX Europe 600 Industrial Goods & Services UCITS ETF - Dist,LU2082997789,"INDU
INGS",STOXX Europe 600 Industrial Goods & Services
